,No_RFA,With_RFA
2023-04-03,1000000.0,1000000.0
2023-04-04,1000000.0,1000000.0
2023-04-05,1000000.0,1000000.0
2023-04-06,1000000.0,1000000.0
2023-04-07,1000000.0,1000000.0
2023-04-10,1000000.0,1000000.0
2023-04-11,1000000.0,1000000.0
2023-04-12,1000000.0,1000000.0
2023-04-13,1000000.0,1000000.0
2023-04-14,1000000.0,1000000.0
2023-04-17,1000000.0,1000000.0
2023-04-18,1000000.0,1000000.0
2023-04-19,1000000.0,1000000.0
2023-04-20,1000000.0,1000000.0
2023-04-21,1000000.0,1000000.0
2023-04-24,1000000.0,1000000.0
2023-04-25,1000000.0,1000000.0
2023-04-26,1000000.0,1000000.0
2023-04-27,1000000.0,1000000.0
2023-04-28,949900.0,949900.0
2023-05-01,938494.8864386582,938494.8864386582
2023-05-02,938426.2916500418,938426.2916500418
2023-05-03,964337.0757287686,964337.0757287686
2023-05-04,955569.0616071802,955569.0616071802
2023-05-05,952074.6163402293,952074.6163402293
2023-05-08,925971.8774857789,925971.8774857789
2023-05-09,947957.6703229992,947957.6703229992
2023-05-10,940364.3810506851,940364.3810506851
2023-05-11,938818.3214673009,938818.3214673009
2023-05-12,944449.3481037082,944449.3481037082
2023-05-15,938213.7180647755,938213.7180647755
2023-05-16,955918.70738352,955918.70738352
2023-05-17,950034.2768903652,950034.2768903652
2023-05-18,940011.4642637258,940011.4642637258
2023-05-19,948831.467762402,948831.467762402
2023-05-22,941749.0037251072,941749.0037251072
2023-05-23,924755.9070011602,924755.9070011602
2023-05-24,939380.3467699548,939380.3467699548
2023-05-25,962654.5220659188,962654.5220659188
2023-05-26,953861.8855223623,953861.8855223623
2023-05-29,971452.3280946517,971452.3280946517
2023-05-30,981734.2449097161,981734.2449097161
2023-05-31,988394.9607320832,988394.9607320832
2023-06-01,985800.5357348691,985800.5357348691
2023-06-02,969577.3682436144,969577.3682436144
2023-06-05,984607.0511702048,984607.0511702048
2023-06-06,980229.0801912332,980229.0801912332
2023-06-07,973998.6183776385,973998.6183776385
2023-06-08,989987.6529925319,989987.6529925319
2023-06-09,1011492.3238508292,1011492.3238508292
2023-06-12,1007096.2474011285,1007096.2474011285
2023-06-13,984874.3149589236,984874.3149589236
2023-06-14,998538.1475807761,998538.1475807761
2023-06-15,993631.2950563815,993631.2950563815
2023-06-16,1009645.0324698891,1009645.0324698891
2023-06-19,1022330.1826701888,1022330.1826701888
2023-06-20,1028853.5513161833,1028853.5513161833
2023-06-21,1013878.8077225301,1013878.8077225301
2023-06-22,1011742.1121556696,1011742.1121556696
2023-06-23,1020902.8679370191,1020902.8679370191
2023-06-26,1035418.0910982941,1035418.0910982941
2023-06-27,1027903.7096389239,1027903.7096389239
2023-06-28,1009082.2452085153,1009082.2452085153
2023-06-29,1013796.556212055,1013796.556212055
2023-06-30,1028770.5232788695,1028770.5232788695
2023-07-03,1037207.9920746181,1037207.9920746181
2023-07-04,1045505.415414219,1045505.415414219
2023-07-05,1048791.5314673586,1048791.5314673586
2023-07-06,1046390.5445048565,1046390.5445048565
2023-07-07,1029830.0117249889,1029830.0117249889
2023-07-10,1038851.6662991822,1038851.6662991822
2023-07-11,1037255.1035418229,1037255.1035418229
2023-07-12,1040142.645416219,1040142.645416219
2023-07-13,1044017.9618438471,1044017.9618438471
2023-07-14,1043972.7923830561,1043972.7923830561
2023-07-17,1047922.5030801876,1047922.5030801876
2023-07-18,1054503.2277249345,1054503.2277249345
