,No_RFA,With_RFA
2023-04-03,1000000.0,1000000.0
2023-04-04,1000000.0,1000000.0
2023-04-05,1000000.0,1000000.0
2023-04-06,1000000.0,1000000.0
2023-04-07,1000000.0,1000000.0
2023-04-10,1000000.0,1000000.0
2023-04-11,1000000.0,1000000.0
2023-04-12,1000000.0,1000000.0
2023-04-13,1000000.0,1000000.0
2023-04-14,1000000.0,1000000.0
2023-04-17,1000000.0,1000000.0
2023-04-18,1000000.0,1000000.0
2023-04-19,1000000.0,1000000.0
2023-04-20,1000000.0,1000000.0
2023-04-21,1000000.0,1000000.0
2023-04-24,1000000.0,1000000.0
2023-04-25,1000000.0,1000000.0
2023-04-26,1000000.0,1000000.0
2023-04-27,1000000.0,1000000.0
2023-04-28,1000000.0,1000000.0
2023-05-01,988594.8864386582,988594.8864386582
2023-05-02,988526.2916500418,988526.2916500418
2023-05-03,1014437.0757287686,1014437.0757287686
2023-05-04,1005669.0616071802,1005669.0616071802
2023-05-05,1002174.6163402293,1002174.6163402293
2023-05-08,976071.8774857789,976071.8774857789
2023-05-09,998057.6703229992,998057.6703229992
2023-05-10,990464.3810506851,990464.3810506851
2023-05-11,988918.3214673009,988918.3214673009
2023-05-12,994549.3481037082,994549.3481037082
2023-05-15,988313.7180647755,988313.7180647755
2023-05-16,1006018.70738352,1006018.70738352
2023-05-17,1000134.2768903652,1000134.2768903652
2023-05-18,990111.4642637258,990111.4642637258
2023-05-19,998931.467762402,998931.467762402
2023-05-22,991849.0037251072,991849.0037251072
2023-05-23,974855.9070011602,974855.9070011602
2023-05-24,989480.3467699548,989480.3467699548
2023-05-25,1012754.5220659188,1012754.5220659188
2023-05-26,1003961.8855223623,1003961.8855223623
2023-05-29,1021552.3280946517,1021552.3280946517
2023-05-30,1031834.2449097161,1031834.2449097161
2023-05-31,1038494.9607320832,1038494.9607320832
2023-06-01,1035900.5357348691,1035900.5357348691
2023-06-02,1019677.3682436144,1019677.3682436144
2023-06-05,1034707.0511702048,1034707.0511702048
2023-06-06,1030329.0801912332,1030329.0801912332
2023-06-07,1024098.6183776385,1024098.6183776385
2023-06-08,1040087.6529925319,1040087.6529925319
2023-06-09,1061592.3238508292,1061592.3238508292
2023-06-12,1057196.2474011285,1057196.2474011285
2023-06-13,1034974.3149589236,1034974.3149589236
2023-06-14,1048638.1475807761,1048638.1475807761
2023-06-15,1043731.2950563815,1043731.2950563815
2023-06-16,1059745.0324698891,1059745.0324698891
2023-06-19,1072430.1826701888,1072430.1826701888
2023-06-20,1078953.5513161833,1078953.5513161833
2023-06-21,1063978.80772253,1063978.80772253
2023-06-22,1061842.1121556696,1061842.1121556696
2023-06-23,1071002.867937019,1071002.867937019
2023-06-26,1085518.0910982941,1085518.0910982941
2023-06-27,1078003.7096389239,1078003.7096389239
2023-06-28,1059182.2452085153,1059182.2452085153
2023-06-29,1063896.556212055,1063896.556212055
2023-06-30,1078870.5232788695,1078870.5232788695
2023-07-03,1087307.992074618,1087307.992074618
2023-07-04,1095605.415414219,1095605.415414219
2023-07-05,1098891.5314673586,1098891.5314673586
2023-07-06,1096490.5445048565,1096490.5445048565
2023-07-07,1079930.011724989,1079930.011724989
2023-07-10,1088951.6662991822,1088951.6662991822
2023-07-11,1087355.1035418229,1087355.1035418229
2023-07-12,1090242.645416219,1090242.645416219
2023-07-13,1094117.961843847,1094117.961843847
2023-07-14,1094072.7923830561,1094072.7923830561
2023-07-17,1098022.5030801876,1098022.5030801876
