date,strategy,drawdown
2025-05-30,1. Buy & Hold,0.0
2025-06-02,1. Buy & Hold,0.0
2025-06-03,1. Buy & Hold,0.0
2025-06-04,1. Buy & Hold,0.0
2025-06-05,1. Buy & Hold,-0.01625859923345804
2025-06-06,1. Buy & Hold,-0.01630937694604968
2025-06-09,1. Buy & Hold,-0.0099179023562236
2025-06-10,1. Buy & Hold,0.0
2025-06-11,1. Buy & Hold,-0.006308669623720365
2025-06-12,1. Buy & Hold,-0.0063443818175496335
2025-06-13,1. Buy & Hold,-0.006375519411339464
2025-06-16,1. Buy & Hold,0.0
2025-06-17,1. Buy & Hold,-0.009108474569261543
2025-06-18,1. Buy & Hold,-0.012540637569501134
2025-06-20,1. Buy & Hold,-0.012566032926226487
2025-06-23,1. Buy & Hold,0.0
2025-06-24,1. Buy & Hold,0.0
2025-06-25,1. Buy & Hold,0.0
2025-06-26,1. Buy & Hold,0.0
2025-06-27,1. Buy & Hold,-2.8366240497493992e-05
2025-06-30,1. Buy & Hold,0.0
2025-07-01,1. Buy & Hold,-0.007900617198519054
2025-07-02,1. Buy & Hold,0.0
2025-07-03,1. Buy & Hold,-2.197001279884645e-05
2025-07-07,1. Buy & Hold,-0.013457492659366518
2025-07-08,1. Buy & Hold,-0.017542496527368848
2025-07-09,1. Buy & Hold,-0.00873324982632818
2025-07-10,1. Buy & Hold,-0.0016030791864947024
2025-07-11,1. Buy & Hold,-0.0016185931999408815
2025-07-14,1. Buy & Hold,0.0
2025-07-15,1. Buy & Hold,-0.000873127108150943
2025-07-16,1. Buy & Hold,0.0
2025-07-17,1. Buy & Hold,0.0
2025-07-18,1. Buy & Hold,-1.9686787196381215e-05
2025-07-21,1. Buy & Hold,0.0
2025-07-22,1. Buy & Hold,-0.00014881337161249547
2025-07-23,1. Buy & Hold,0.0
2025-07-24,1. Buy & Hold,-0.002923650824760365
2025-07-25,1. Buy & Hold,-0.002940781334782844
2025-07-28,1. Buy & Hold,0.0
2025-07-29,1. Buy & Hold,-0.005433577294801028
2025-07-30,1. Buy & Hold,-0.005225002309992744
2025-07-31,1. Buy & Hold,-8.990395236626008e-05
2025-08-01,1. Buy & Hold,-0.0001304239671317034
2025-08-04,1. Buy & Hold,0.0
2025-08-05,1. Buy & Hold,-0.006290322747961182
2025-08-06,1. Buy & Hold,0.0
2025-08-07,1. Buy & Hold,0.0
2025-08-08,1. Buy & Hold,-3.6925140518069196e-05
2025-08-11,1. Buy & Hold,0.0
2025-08-12,1. Buy & Hold,0.0
2025-08-13,1. Buy & Hold,-7.501240614726051e-05
2025-08-14,1. Buy & Hold,0.0
2025-08-15,1. Buy & Hold,-1.2351573665667432e-05
2025-08-18,1. Buy & Hold,-0.0012852703697875851
2025-08-19,1. Buy & Hold,-0.012119347643897911
2025-08-20,1. Buy & Hold,-0.01847018188669759
2025-08-21,1. Buy & Hold,-0.0225890508414143
2025-08-22,1. Buy & Hold,-0.022616531191291506
2025-08-25,1. Buy & Hold,-0.021254125130885208
2025-08-26,1. Buy & Hold,-0.017610125024358044
2025-08-27,1. Buy & Hold,-0.017254266805397753
2025-08-28,1. Buy & Hold,-0.014394561380391456
2025-08-29,1. Buy & Hold,-0.014412983528466225
2025-09-02,1. Buy & Hold,-0.022323938410252115
2025-09-03,1. Buy & Hold,-0.00765214662381339
2025-09-04,1. Buy & Hold,0.0
2025-09-05,1. Buy & Hold,-3.592380281446393e-05
2025-09-08,1. Buy & Hold,-0.0004909735952679758
2025-09-09,1. Buy & Hold,0.0
2025-09-10,1. Buy & Hold,-0.0054318506233156875
2025-09-11,1. Buy & Hold,0.0
2025-09-12,1. Buy & Hold,-3.7010416034083e-05
2025-09-15,1. Buy & Hold,0.0
2025-09-16,1. Buy & Hold,0.0
2025-09-17,1. Buy & Hold,-6.751962140048982e-05
2025-09-18,1. Buy & Hold,-0.0018700258888250572
2025-09-19,1. Buy & Hold,-0.0018940008628118852
2025-09-22,1. Buy & Hold,0.0
2025-09-23,1. Buy & Hold,-0.011328183397631052
2025-09-24,1. Buy & Hold,-0.009912659602137193
2025-09-25,1. Buy & Hold,-0.016204502711594952
2025-09-26,1. Buy & Hold,-0.016232863843687804
2025-09-29,1. Buy & Hold,-0.011603186594701066
2025-09-30,1. Buy & Hold,-0.008313978172002757
2025-10-01,1. Buy & Hold,-0.0043071870136079
2025-10-02,1. Buy & Hold,-0.007927260594368244
2025-10-03,1. Buy & Hold,-0.007954842191386225
2025-10-06,1. Buy & Hold,0.0
2025-10-07,1. Buy & Hold,-0.006926743525017203
2025-10-08,1. Buy & Hold,-0.002003983677841631
2025-10-09,1. Buy & Hold,-0.0008545463883708059
2025-10-10,1. Buy & Hold,-0.0008874730784972315
2025-10-13,1. Buy & Hold,0.0
2025-10-14,1. Buy & Hold,-0.008681450458294592
2025-10-15,1. Buy & Hold,-0.003026952932784041
2025-10-16,1. Buy & Hold,-0.010458976336767128
2025-10-17,1. Buy & Hold,-0.010482464719057432
2025-10-20,1. Buy & Hold,0.0
2025-10-21,1. Buy & Hold,-0.003036178690620482
2025-10-22,1. Buy & Hold,-0.007832557093271445
2025-10-23,1. Buy & Hold,-0.0019747110753580064
2025-10-24,1. Buy & Hold,-0.0019935051464779496
2025-10-27,1. Buy & Hold,0.0
2025-10-28,1. Buy & Hold,0.0
2025-10-29,1. Buy & Hold,0.0
2025-10-30,1. Buy & Hold,-0.017503243231733294
2025-10-31,1. Buy & Hold,-0.017557411531053568
2025-11-03,1. Buy & Hold,-0.013331339219298521
2025-11-04,1. Buy & Hold,-0.027001772673514658
2025-11-05,1. Buy & Hold,-0.021909444760860725
2025-11-06,1. Buy & Hold,-0.03602819227007077
2025-11-07,1. Buy & Hold,-0.03605182154106613
2025-11-10,1. Buy & Hold,-0.01635014601786909
2025-11-11,1. Buy & Hold,-0.014470012290120531
2025-11-12,1. Buy & Hold,-0.020905585111392462
2025-11-13,1. Buy & Hold,-0.04159286876447382
2025-11-14,1. Buy & Hold,-0.0416214213506297
2025-11-17,1. Buy & Hold,-0.04399107677265775
2025-11-18,1. Buy & Hold,-0.05760563285464353
2025-11-19,1. Buy & Hold,-0.05005872310808443
2025-11-20,1. Buy & Hold,-0.06253043134796517
2025-11-21,1. Buy & Hold,-0.06256713958243344
2025-11-24,1. Buy & Hold,-0.03972406187576462
2025-11-25,1. Buy & Hold,-0.030889868110738385
2025-11-26,1. Buy & Hold,-0.030910930967603136
2025-05-30,2. Equal Weight,0.0
2025-06-02,2. Equal Weight,0.0
2025-06-03,2. Equal Weight,0.0
2025-06-04,2. Equal Weight,0.0
2025-06-05,2. Equal Weight,-0.01625859923345804
2025-06-06,2. Equal Weight,-0.01630937694604968
2025-06-09,2. Equal Weight,-0.0099179023562236
2025-06-10,2. Equal Weight,0.0
2025-06-11,2. Equal Weight,-0.006308669623720365
2025-06-12,2. Equal Weight,-0.0063443818175496335
2025-06-13,2. Equal Weight,-0.006375519411339244
2025-06-16,2. Equal Weight,0.0
2025-06-17,2. Equal Weight,-0.009108474569261543
