,0
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,99849.99999999999
2020-04-01,95872.12261596261
2020-04-02,98395.46738294598
2020-04-03,97232.91777811636
2020-04-06,103680.66666777953
2020-04-07,103320.83598763944
2020-04-08,105996.14684292034
2020-04-09,107357.03063519491
2020-04-13,107985.45463805193
2020-04-14,111699.60925318804
2020-04-15,109931.91298889177
2020-04-16,110220.2248579426
2020-04-17,113003.23311786324
2020-04-20,110841.86453674678
2020-04-21,107684.93387082142
2020-04-22,110337.42116210297
2020-04-23,110335.11944087554
2020-04-24,111738.60540365444
2020-04-27,113718.74240424132
2020-04-28,112439.45228197756
2020-04-29,116035.81352718952
2020-04-30,115493.0856495731
2020-05-01,112160.30568513171
2020-05-04,113529.85098708379
2020-05-05,114266.78105867059
2020-05-06,114159.00408111436
2020-05-07,115083.30011547556
2020-05-08,117334.72106573265
2020-05-11,117418.53678243326
2020-05-12,115109.0480951257
2020-05-13,113438.77526286533
2020-05-14,115106.60077064448
2020-05-15,116265.12954281417
2020-05-18,119412.50595961926
2020-05-19,118150.36688189383
2020-05-20,120404.30702799514
2020-05-21,119327.93855551127
2020-05-22,119389.20804897566
2020-05-26,120192.50612824238
2020-05-27,120959.642903065
2020-05-28,120228.33894369585
2020-05-29,120991.29018664607
2020-06-01,121904.87657353043
2020-06-02,122568.3837927177
2020-06-03,123613.15715786822
2020-06-04,122757.09591384664
2020-06-05,125719.69746476892
2020-06-08,127244.19935044693
2020-06-09,127437.91347703604
2020-06-10,127939.05043347602
2020-06-11,120739.72281614202
2020-06-12,121565.11155462844
2020-06-15,122953.55560295159
2020-06-16,124711.76855005044
2020-06-17,124586.95231884888
2020-06-18,124786.47707879535
2020-06-19,124223.17394044918
2020-06-22,125309.26235281584
2020-06-23,126009.6788347749
2020-06-24,122702.14513804599
2020-06-25,124231.47419705894
2020-06-26,120114.510341207
2020-06-29,122098.44909934605
2020-06-30,122075.19111997388
2020-07-01,123465.73172539554
2020-07-02,124253.1889782299
2020-07-06,127250.97100258477
2020-07-07,126639.47592059243
2020-07-08,127617.01855061557
2020-07-09,127634.97290419313
2020-07-10,130648.82045140237
2020-07-13,129145.50110501886
2020-07-14,130866.2579507267
2020-07-15,131585.98331360516
2020-07-16,130617.02595281418
2020-07-17,130101.95497372828
2020-07-20,132484.90083048097
2020-07-21,132159.92803767076
2020-07-22,133047.77203375928
2020-07-23,130777.54990325878
2020-07-24,129761.1281808755
2020-07-27,131268.39921149
2020-07-28,130424.67940783357
2020-07-29,131587.77876801876
2020-07-30,131160.98332721714
2020-07-31,131867.46092593813
2020-08-03,132912.82258679817
2020-08-04,133742.9769526464
2020-08-05,135075.03027905078
2020-08-06,136423.51066936817
2020-08-07,135921.71798026128
2020-08-10,135682.25035759504
2020-08-11,134582.54392248296
2020-08-12,137415.58720046142
2020-08-13,137578.9246802385
2020-08-14,137754.42084188576
2020-08-17,139549.5586122855
2020-08-18,140278.72870021092
2020-08-19,139468.13846702303
2020-08-20,141044.85209774243
2020-08-21,141973.2636895013
2020-08-24,143172.62335670742
2020-08-25,143607.81190223314
2020-08-26,146404.4813610781
2020-08-27,146853.40020075682
2020-08-28,148223.56999667175
2020-08-31,131409.902082049
2020-09-01,132521.97859917287
2020-09-02,134288.12005857387
2020-09-03,129347.28079530546
2020-09-04,128123.88628422793
2020-09-08,124285.57876018622
2020-09-09,126579.3082695097
2020-09-10,124293.7127067646
2020-09-11,124358.32309132164
2020-09-14,125746.7626215981
2020-09-15,126586.89191026032
2020-09-16,125516.38071089606
2020-09-17,124213.0607902956
2020-09-18,123122.56803524423
2020-09-21,122058.06442920469
2020-09-22,123154.84959746985
2020-09-23,119726.80803225182
2020-09-24,120280.33560718343
2020-09-25,122025.76689858464
2020-09-28,123794.930737367
2020-09-29,123442.42433902288
2020-09-30,123412.17678677585
2020-10-01,124525.12947838842
2020-10-02,122362.96724992032
2020-10-05,124500.74116004436
2020-10-06,122497.48652913583
2020-10-07,124480.42476974777
2020-10-08,125552.06550586617
2020-10-09,126809.07062981765
2020-10-12,128865.13865409789
2020-10-13,128568.06328409411
2020-10-14,127384.23375992267
2020-10-15,126978.41193015005
2020-10-16,126719.56412597696
2020-10-19,124488.22047533466
2020-10-20,125118.30388488159
2020-10-21,124789.99410269367
2020-10-22,125490.00299443184
2020-10-23,125999.12797501644
2020-10-26,123785.0800888977
2020-10-27,123961.77489115534
2020-10-28,118968.89296613046
2020-10-29,120857.34705050594
2020-10-30,118770.2529089317
2020-11-02,120030.38494558394
2020-11-03,122191.38577256739
2020-11-04,124686.9716412502
2020-11-05,127099.9696925534
2020-11-06,127081.5164712962
2020-11-09,129687.39062303232
2020-11-10,128809.485874962
2020-11-11,129616.36464090394
2020-11-12,128318.09672981668
2020-11-13,129517.27110869308
2020-11-16,130747.06690530547
2020-11-17,130278.55104198975
2020-11-18,129623.66329584952
2020-11-19,130123.17784139393
2020-11-20,128877.61585102555
2020-11-23,130204.72645588036
2020-11-24,133113.45575297106
2020-11-25,133294.87091482998
2020-11-27,133618.53171058485
2020-11-30,132647.22199813198
2020-12-01,134633.45855999686
2020-12-02,135281.51036910893
2020-12-03,134891.49394268007
2020-12-04,135846.25566768748
2020-12-07,136506.77744860973
2020-12-08,137130.782439887
2020-12-09,135171.54060702503
2020-12-10,135481.05546025548
2020-12-11,135999.88985761965
2020-12-14,135561.97366679172
2020-12-15,136696.9225898526
2020-12-16,136702.4564657369
2020-12-17,137783.14924851933
2020-12-18,137924.86910356762
2020-12-21,137242.71407989197
2020-12-22,136300.48215597266
2020-12-23,136660.50488606578
2020-12-24,137247.74602106458
2020-12-28,139002.4963183792
2020-12-29,138914.58509319596
2020-12-30,139495.6823032897
2020-12-31,139472.38278654288
2021-01-04,138172.51523760153
2021-01-05,138987.96130175085
2021-01-06,138532.01058295817
2021-01-07,140844.7533983391
2021-01-08,142032.20291806431
2021-01-11,140889.41027186136
2021-01-12,140911.15737382357
2021-01-13,141415.67987499092
2021-01-14,140049.66234375318
2021-01-15,138626.1115878525
2021-01-19,139678.2689928759
2021-01-20,142606.2495939275
2021-01-21,142744.55445546718
2021-01-22,142494.0564480364
2021-01-25,143189.3466311649
2021-01-26,143459.06369302628
2021-01-27,139334.51451558297
2021-01-28,140448.0157794759
2021-01-29,137353.10750826896
2021-02-01,139506.82180088141
2021-02-02,141637.26685455092
2021-02-03,142205.62958201533
2021-02-04,143946.73917069097
2021-02-05,144633.40290290522
2021-02-08,146031.8375890891
2021-02-09,145461.6746716921
2021-02-10,145425.12077312724
