,0
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,99849.99999999999
2020-04-01,95872.12261596261
2020-04-02,98395.46738294598
2020-04-03,97232.91777811636
2020-04-06,103680.66666777953
2020-04-07,103320.83598763944
2020-04-08,105996.14684292034
2020-04-09,107357.03063519491
2020-04-13,107985.45463805193
2020-04-14,111699.60925318804
2020-04-15,109931.91298889177
2020-04-16,110220.2248579426
2020-04-17,113003.23311786324
2020-04-20,110841.86453674678
2020-04-21,107684.93387082142
2020-04-22,110337.42116210297
2020-04-23,110335.11944087554
2020-04-24,111738.60540365444
2020-04-27,113718.74240424132
2020-04-28,112439.45228197756
2020-04-29,116035.81352718952
2020-04-30,115493.0856495731
2020-05-01,112160.30568513171
2020-05-04,113529.85098708379
2020-05-05,114266.78105867059
2020-05-06,114159.00408111436
2020-05-07,115083.30011547556
2020-05-08,117334.72106573265
2020-05-11,117418.53678243326
2020-05-12,115109.0480951257
2020-05-13,113438.77526286533
2020-05-14,115106.60077064448
2020-05-15,116265.12954281417
2020-05-18,119412.50595961926
2020-05-19,118150.36688189383
2020-05-20,120404.30702799514
2020-05-21,119327.93855551127
2020-05-22,119389.20804897566
2020-05-26,120192.50612824238
2020-05-27,120959.642903065
2020-05-28,120228.33894369585
2020-05-29,120991.29018664607
2020-06-01,121904.87657353043
2020-06-02,122568.3837927177
2020-06-03,123613.15715786822
2020-06-04,122757.09591384664
2020-06-05,125719.69746476892
2020-06-08,127244.19935044693
2020-06-09,127437.91347703604
2020-06-10,127939.05043347602
2020-06-11,120739.72281614202
2020-06-12,121565.11155462844
2020-06-15,122953.55560295159
2020-06-16,124711.76855005044
2020-06-17,124586.95231884888
2020-06-18,124786.47707879535
2020-06-19,124223.17394044918
2020-06-22,125309.26235281584
2020-06-23,126009.6788347749
2020-06-24,122702.14513804599
2020-06-25,124231.47419705894
2020-06-26,120114.510341207
2020-06-29,122098.44909934605
2020-06-30,124455.15738452027
2020-07-01,126049.87552785035
2020-07-02,127161.30408888347
2020-07-06,130875.56720107407
2020-07-07,130314.51629675951
2020-07-08,131316.24992084622
2020-07-09,131577.07186468525
2020-07-10,135024.9206580313
2020-07-13,133157.29381999339
2020-07-14,134955.03186491213
2020-07-15,135691.34474850493
2020-07-16,134534.404703533
2020-07-17,134021.00143121122
2020-07-20,137139.92204642197
2020-07-21,136370.09531595957
2020-07-22,137268.78389929893
2020-07-23,134536.82317060142
2020-07-24,133201.4812155763
2020-07-27,135294.99239634024
2020-07-28,134067.48197585845
2020-07-29,135351.37481839187
2020-07-30,134981.0286838636
2020-07-31,135715.22007000225
2020-08-03,137066.8155321692
2020-08-04,137893.8465664128
2020-08-05,139186.0552546446
2020-08-06,140669.1380628123
2020-08-07,139908.30246455513
2020-08-10,139495.541324933
2020-08-11,138089.34965176423
2020-08-12,141743.7918062448
2020-08-13,142226.70683876504
2020-08-14,142520.68197633408
2020-08-17,145164.9304297686
2020-08-18,146152.1521124818
2020-08-19,145320.72735855778
2020-08-20,147448.24293365315
2020-08-21,148676.68485271235
2020-08-24,149716.9646176335
2020-08-25,150240.65330870624
2020-08-26,153712.55624046893
2020-08-27,154331.72748298474
2020-08-28,155568.61273684754
2020-08-31,131112.69361027254
2020-09-01,132215.20955215665
2020-09-02,133858.16716997436
2020-09-03,128552.35756748739
2020-09-04,127232.97097332915
2020-09-08,122988.53949178255
2020-09-09,125552.15130000893
2020-09-10,123249.79055152611
2020-09-11,123214.21801897223
2020-09-14,124833.04777138376
2020-09-15,125890.54110835114
2020-09-16,124661.26160500762
2020-09-17,123248.32645006613
2020-09-18,122169.5605044087
2020-09-21,121289.96688483187
2020-09-22,122384.42643855388
2020-09-23,118739.05740507357
2020-09-24,119350.10746760565
2020-09-25,121260.0009876146
2020-09-28,123071.53782646809
2020-09-29,122773.59584713461
2020-09-30,124002.65961732839
2020-10-01,125198.40079772292
2020-10-02,123005.76903656716
2020-10-05,125214.66311404093
2020-10-06,123289.00755154852
2020-10-07,125315.93565857275
2020-10-08,126266.78526723784
2020-10-09,127526.70252647763
2020-10-12,129604.60709401443
2020-10-13,129502.28606832944
2020-10-14,128115.55912847436
2020-10-15,127660.98426580463
2020-10-16,127395.44900082868
2020-10-19,125162.1826921267
2020-10-20,125853.7573816874
2020-10-21,125576.66809390641
2020-10-22,126077.83877398002
2020-10-23,126789.79579389445
2020-10-26,124389.45636133118
2020-10-27,124732.37889403864
2020-10-28,119617.77185814995
2020-10-29,121546.76900413798
2020-10-30,119369.28177306896
2020-11-02,120469.57743575034
2020-11-03,122695.41244762852
2020-11-04,125682.56199588545
2020-11-05,128117.1889382809
2020-11-06,128274.09585564568
2020-11-09,130024.99555649314
2020-11-10,128829.8819556865
2020-11-11,129839.50600052155
2020-11-12,128639.01039329436
2020-11-13,129777.31390075272
2020-11-16,130947.22570420225
2020-11-17,130271.97241970923
2020-11-18,129487.50054230292
2020-11-19,129909.28062514386
2020-11-20,128613.74529455043
2020-11-23,129789.81591189538
2020-11-24,132352.63383244775
2020-11-25,132600.31641020585
2020-11-27,132916.67228350326
2020-11-30,132106.4915895024
2020-12-01,133927.7888191081
2020-12-02,134548.5059879211
2020-12-03,133912.88596515756
2020-12-04,134782.93447427085
2020-12-07,135283.38384279795
2020-12-08,135670.4137192683
2020-12-09,133775.73369115696
2020-12-10,133868.70798185898
2020-12-11,134568.5359906158
2020-12-14,134281.11592968184
2020-12-15,135227.79191738457
2020-12-16,135305.59424674057
2020-12-17,136254.16002471725
2020-12-18,136276.82166913513
2020-12-21,135742.34590380065
2020-12-22,134732.20460235944
2020-12-23,134903.3593670283
2020-12-24,135402.60268558568
2020-12-28,137106.9333237142
2020-12-29,137121.8481115104
2020-12-30,137597.82335862046
2020-12-31,138226.68272821172
2021-01-04,136938.60681770524
2021-01-05,137708.83560224273
2021-01-06,137128.66855697532
2021-01-07,139490.0863440004
2021-01-08,140585.24320034435
2021-01-11,139498.27834368346
2021-01-12,139401.60406539333
2021-01-13,139877.89247722647
2021-01-14,138340.3912909973
2021-01-15,137001.94228387316
2021-01-19,138106.42936414084
2021-01-20,141131.12647663188
2021-01-21,141294.84402804135
2021-01-22,140967.99596786307
2021-01-25,141477.30537625158
2021-01-26,141684.9116839553
2021-01-27,137374.28003381024
2021-01-28,138773.54373544423
2021-01-29,135849.35418086255
2021-02-01,138112.9643693243
2021-02-02,140425.69628028903
2021-02-03,140981.47721631243
2021-02-04,142658.61514648463
2021-02-05,143288.5370347788
2021-02-08,144884.8009864299
2021-02-09,144329.85200764888
2021-02-10,144468.11501070962
