,0
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,100000.0
2020-04-01,100000.0
2020-04-02,100000.0
2020-04-03,100000.0
2020-04-06,100000.0
2020-04-07,100000.0
2020-04-08,100000.0
2020-04-09,100000.0
2020-04-13,100000.0
2020-04-14,100000.0
2020-04-15,100000.0
2020-04-16,100000.0
2020-04-17,100000.0
2020-04-20,100000.0
2020-04-21,100000.0
2020-04-22,100000.0
2020-04-23,100000.0
2020-04-24,100000.0
2020-04-27,100000.0
2020-04-28,100000.0
2020-04-29,100000.0
2020-04-30,100000.0
2020-05-01,100000.0
2020-05-04,100000.0
2020-05-05,100000.0
2020-05-06,100000.0
2020-05-07,100000.0
2020-05-08,100000.0
2020-05-11,100000.0
2020-05-12,100000.0
2020-05-13,100000.0
2020-05-14,100000.0
2020-05-15,100000.0
2020-05-18,100000.0
2020-05-19,100000.0
2020-05-20,100000.0
2020-05-21,100000.0
2020-05-22,100000.0
2020-05-26,100000.0
2020-05-27,100000.0
2020-05-28,100000.0
2020-05-29,100000.0
2020-06-01,100000.0
2020-06-02,100000.0
2020-06-03,100000.0
2020-06-04,100000.0
2020-06-05,100000.0
2020-06-08,100000.0
2020-06-09,100000.0
2020-06-10,100000.0
2020-06-11,100000.0
2020-06-12,100000.0
2020-06-15,100000.0
2020-06-16,100000.0
2020-06-17,100000.0
2020-06-18,100000.0
2020-06-19,100000.0
2020-06-22,100000.0
2020-06-23,100000.0
2020-06-24,100000.0
2020-06-25,100000.0
2020-06-26,100000.0
2020-06-29,100000.0
2020-06-30,100000.0
2020-07-01,100000.0
2020-07-02,100000.0
2020-07-06,100000.0
2020-07-07,100000.0
2020-07-08,100000.0
2020-07-09,100000.0
2020-07-10,100000.0
2020-07-13,100000.0
2020-07-14,100000.0
2020-07-15,100000.0
2020-07-16,100000.0
2020-07-17,100000.0
2020-07-20,100000.0
2020-07-21,100000.0
2020-07-22,100000.0
2020-07-23,100000.0
2020-07-24,100000.0
2020-07-27,100000.0
2020-07-28,100000.0
2020-07-29,100000.0
2020-07-30,100000.0
2020-07-31,100000.0
2020-08-03,100000.0
2020-08-04,100000.0
2020-08-05,100000.0
2020-08-06,100000.0
2020-08-07,100000.0
2020-08-10,100000.0
2020-08-11,100000.0
2020-08-12,100000.0
2020-08-13,100000.0
2020-08-14,100000.0
2020-08-17,100000.0
2020-08-18,100000.0
2020-08-19,100000.0
2020-08-20,100000.0
2020-08-21,100000.0
2020-08-24,100000.0
2020-08-25,100000.0
2020-08-26,100000.0
2020-08-27,100000.0
2020-08-28,100000.0
2020-08-31,100000.0
2020-09-01,100000.0
2020-09-02,100000.0
2020-09-03,100000.0
2020-09-04,100000.0
2020-09-08,100000.0
2020-09-09,100000.0
2020-09-10,100000.0
2020-09-11,100000.0
2020-09-14,100000.0
2020-09-15,100000.0
2020-09-16,100000.0
2020-09-17,100000.0
2020-09-18,100000.0
2020-09-21,100000.0
2020-09-22,100000.0
2020-09-23,100000.0
2020-09-24,100000.0
2020-09-25,100000.0
2020-09-28,100000.0
2020-09-29,100000.0
2020-09-30,99850.00000000001
2020-10-01,100451.83142808599
2020-10-02,99085.45166586575
2020-10-05,100250.46505442982
2020-10-06,98967.3677247373
2020-10-07,100050.51258443145
2020-10-08,100443.57791029428
2020-10-09,101862.82385455022
2020-10-12,103057.59120770934
2020-10-13,103340.07423834488
2020-10-14,102222.56345687722
2020-10-15,102148.39474749271
2020-10-16,102094.94709727496
2020-10-19,100176.42681651286
2020-10-20,100592.78402948976
2020-10-21,100773.83918372204
2020-10-22,100720.68475951721
2020-10-23,101100.9030653777
2020-10-26,99836.32917190337
2020-10-27,100129.08465039455
2020-10-28,97048.88021855347
2020-10-29,97375.95168789623
2020-10-30,96373.35214591268
2020-11-02,96931.45974878999
2020-11-03,98392.73211205075
2020-11-04,99126.80566230118
2020-11-05,100257.18164166594
2020-11-06,101314.41848468268
2020-11-09,102404.44056436243
2020-11-10,103018.04576848682
2020-11-11,103436.99627565383
2020-11-12,103185.30200809408
2020-11-13,104627.59642546182
2020-11-16,105859.24067480306
2020-11-17,104923.2649557963
2020-11-18,104174.40335065356
2020-11-19,104541.80417041494
2020-11-20,103804.68532299598
2020-11-23,104137.0313533278
2020-11-24,105039.94922316742
2020-11-25,105096.12117640131
2020-11-27,104899.95205907847
2020-11-30,105294.420143161
2020-12-01,106231.05379092188
2020-12-02,106261.7746125316
2020-12-03,105996.55561297017
2020-12-04,106208.20359884096
2020-12-07,105821.5252469685
2020-12-08,106715.29787677914
2020-12-09,106336.00090302662
2020-12-10,105890.06993850297
2020-12-11,108896.513742597
2020-12-14,107170.98614736286
2020-12-15,108142.615199691
2020-12-16,108141.40657347099
2020-12-17,109224.48946557748
2020-12-18,109307.75011406383
2020-12-21,108519.06196605848
2020-12-22,107935.90680330299
2020-12-23,107903.3567611816
2020-12-24,108213.41511740194
2020-12-28,109878.49738916641
2020-12-29,109763.16355945419
2020-12-30,110465.35047044957
2020-12-31,110342.42849966424
2021-01-04,109364.01594023581
2021-01-05,109834.56332329084
2021-01-06,110933.28295496291
2021-01-07,111174.5369959346
2021-01-08,111207.47797451416
2021-01-11,111005.36878360703
2021-01-12,110658.43954928585
2021-01-13,110683.61034505065
2021-01-14,110565.58469872744
2021-01-15,109579.99172094723
2021-01-19,109681.16446873169
2021-01-20,110014.66639254788
2021-01-21,109272.99439959416
2021-01-22,109344.97247271941
2021-01-25,110019.50452251923
2021-01-26,111005.177686627
2021-01-27,107799.77253113453
2021-01-28,109616.64691345373
2021-01-29,107145.43592122947
2021-02-01,107549.98717077434
2021-02-02,108366.88551999228
2021-02-03,108333.30157506342
2021-02-04,109497.29979144585
2021-02-05,110309.94027116975
2021-02-08,111280.46657107337
2021-02-09,111359.82447377208
2021-02-10,111367.7823349496
2021-02-11,111298.39134099381
2021-02-12,111233.26623684974
2021-02-16,111356.81664387339
2021-02-17,111716.37496706212
2021-02-18,110998.14143296033
2021-02-19,110162.51859762982
2021-02-22,110542.02830959187
2021-02-23,110968.23725580449
2021-02-24,111606.90830029885
2021-02-25,110446.13508277001
2021-02-26,108025.36045456503
2021-03-01,109472.06772687727
2021-03-02,109073.87979920537
2021-03-03,108101.14263920416
2021-03-04,106598.14009474701
2021-03-05,108498.37499147988
2021-03-08,109969.31475791524
2021-03-09,109200.43277845459
2021-03-10,110433.1553556549
2021-03-11,110496.4502783447
2021-03-12,111188.29558198531
2021-03-15,111332.97711758688
2021-03-16,111244.98758026982
2021-03-17,111170.34023864142
2021-03-18,110819.1815763039
2021-03-19,110438.46320687677
