,0
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,99850.0
2020-04-01,96279.1981028229
2020-04-02,98853.30735738299
2020-04-03,97909.6181876108
2020-04-06,104037.42437939467
2020-04-07,103432.93737556021
2020-04-08,105957.85654789834
2020-04-09,107058.19746755285
2020-04-13,107898.53209579592
2020-04-14,111742.62597644595
2020-04-15,110345.14050200442
2020-04-16,110888.04506986751
2020-04-17,113251.60821943202
2020-04-20,111305.50874252353
2020-04-21,108445.5327905007
2020-04-22,110855.35840683464
2020-04-23,110959.27548442513
2020-04-24,112185.47172680168
2020-04-27,113710.82974430169
2020-04-28,112331.16741702071
2020-04-29,115470.51165278324
2020-04-30,115217.65921206368
2020-05-01,112065.52810566741
2020-05-04,113301.32701711665
2020-05-05,114047.59802688587
2020-05-06,113922.27550296321
2020-05-07,114557.42897165923
2020-05-08,116619.65657513325
2020-05-11,116847.36911086638
2020-05-12,114671.5680977072
2020-05-13,113239.97890243874
2020-05-14,114674.00912804046
2020-05-15,115835.95872650297
2020-05-18,118632.32426828626
2020-05-19,117425.97376581153
2020-05-20,119496.77628557151
2020-05-21,118348.84643292104
2020-05-22,118323.51169927775
2020-05-26,118886.68195478142
2020-05-27,119466.81651603249
2020-05-28,118990.39127281748
2020-05-29,119745.7862793265
2020-06-01,120403.74399783206
2020-06-02,121053.02993613912
2020-06-03,121913.41565727457
2020-06-04,120950.46365366314
2020-06-05,123562.73438274325
2020-06-08,124965.8702735454
2020-06-09,125253.37389323786
2020-06-10,125705.9460370735
2020-06-11,119040.35763148688
2020-06-12,119651.51527821779
2020-06-15,120865.98158725888
2020-06-16,122628.79241799554
2020-06-17,122601.10929496198
2020-06-18,122765.46529913835
2020-06-19,122350.5781693962
2020-06-22,123419.05324760058
2020-06-23,124043.33167561468
2020-06-24,121003.22692406522
2020-06-25,122309.84363400817
2020-06-26,118418.5649238669
2020-06-29,120252.56436827454
2020-06-30,120226.59529059067
2020-07-01,121868.75825304512
2020-07-02,122516.95294361317
2020-07-06,125297.35577402913
2020-07-07,125039.92614982283
2020-07-08,125890.49732195857
2020-07-09,126101.66609457652
2020-07-10,128983.10879580387
2020-07-13,127615.46575146532
2020-07-14,129171.80349833395
2020-07-15,129689.38688525591
2020-07-16,128977.15173070342
2020-07-17,128394.88209519479
2020-07-20,130626.70873018891
2020-07-21,130293.6109399586
2020-07-22,131205.57584595034
2020-07-23,129035.99092636541
2020-07-24,128173.80298001097
2020-07-27,129522.95024675781
2020-07-28,128870.03551162373
2020-07-29,129749.5218262776
2020-07-30,129444.5758081344
2020-07-31,130158.64973895949
2020-08-03,130920.81364760122
2020-08-04,131844.06768384454
2020-08-05,132921.76877461167
2020-08-06,134112.74414377395
2020-08-07,133610.32299475692
2020-08-10,133359.19461638137
2020-08-11,132083.8443635778
2020-08-12,134730.74888776717
2020-08-13,134861.0296874678
2020-08-14,134978.54622265423
2020-08-17,136552.93659006694
2020-08-18,137440.16592697706
2020-08-19,136507.21191154927
2020-08-20,137961.06865519725
2020-08-21,138699.30718358536
2020-08-24,139697.2864004184
2020-08-25,140063.52664274088
2020-08-26,142909.25856893303
2020-08-27,143205.27657593592
2020-08-28,144516.37656095307
2020-08-31,131213.31972822198
2020-09-01,132571.3082410553
2020-09-02,134250.98532095453
2020-09-03,129533.32575121113
2020-09-04,128231.77885018839
2020-09-08,124602.16649079359
2020-09-09,126690.38265091972
2020-09-10,124336.3609733911
2020-09-11,124423.56481376411
2020-09-14,125497.76719417094
2020-09-15,126461.98161821094
2020-09-16,125297.3900440991
2020-09-17,124014.50199123635
2020-09-18,123008.2041590879
2020-09-21,122109.55564223751
2020-09-22,123406.93054418679
2020-09-23,120141.40093653556
2020-09-24,120661.53942704639
2020-09-25,122297.46502989372
2020-09-28,123945.8662156903
2020-09-29,123604.57840239463
2020-09-30,123582.81475397943
2020-10-01,124677.58481710909
2020-10-02,122681.64893286544
2020-10-05,124697.19420508273
2020-10-06,122727.13285966594
2020-10-07,124663.68859813742
2020-10-08,125731.22995596472
2020-10-09,127010.11783883418
2020-10-12,128907.10694434949
2020-10-13,128747.0011900951
2020-10-14,127480.00561692663
2020-10-15,127112.69903291267
2020-10-16,127001.10959567262
2020-10-19,124894.58450294417
2020-10-20,125492.29897676675
2020-10-21,125030.19363349538
2020-10-22,125624.84789904986
2020-10-23,126226.59606379607
2020-10-26,124176.63979335096
2020-10-27,124382.82378079918
2020-10-28,119572.65195594128
2020-10-29,121261.13373343434
2020-10-30,119327.43706922074
2020-11-02,120563.44757998438
2020-11-03,122452.11994751368
2020-11-04,124934.56492317788
2020-11-05,126995.16286614262
2020-11-06,127151.7076414803
2020-11-09,129274.11412026234
2020-11-10,128763.66110316725
2020-11-11,129573.23945768744
2020-11-12,128359.10864880412
2020-11-13,129696.24400036616
2020-11-16,130682.4091568817
2020-11-17,129887.14845470607
2020-11-18,128986.58649126787
2020-11-19,129494.34573381228
2020-11-20,128444.48995040443
2020-11-23,129351.69648030885
2020-11-24,131771.27460329636
2020-11-25,131865.0102279557
2020-11-27,132181.4745334766
2020-11-30,131473.42350905747
2020-12-01,133377.0895594366
2020-12-02,134035.86479181878
2020-12-03,133488.80441245052
2020-12-04,134336.87889309425
2020-12-07,134773.428330334
2020-12-08,135533.3663634958
2020-12-09,133858.66978468376
2020-12-10,133945.11139418237
2020-12-11,134570.4432035125
2020-12-14,133830.5980995641
2020-12-15,134785.00845754665
2020-12-16,134813.9561843889
2020-12-17,135749.81910793504
2020-12-18,135712.2127202505
2020-12-21,135070.301979839
2020-12-22,134111.48345810646
2020-12-23,134340.02267273612
2020-12-24,134794.6642494803
2020-12-28,136498.98042509047
2020-12-29,136513.0537878862
2020-12-30,136814.8042785828
2020-12-31,136795.4331502607
2021-01-04,135454.4196725179
2021-01-05,136174.65166713388
2021-01-06,135575.92937391656
2021-01-07,137262.9798449929
2021-01-08,138160.51302531437
2021-01-11,137257.33601290552
2021-01-12,137087.8142942343
2021-01-13,137501.82685589246
2021-01-14,136320.93045378968
2021-01-15,135078.47088215096
2021-01-19,135956.8313290409
2021-01-20,138978.21327774203
2021-01-21,138992.3003486757
2021-01-22,138764.35317761553
2021-01-25,139369.4517441241
2021-01-26,139868.29179648208
2021-01-27,135767.195406626
2021-01-28,136966.89019656728
2021-01-29,134125.19522435474
2021-02-01,135891.62538981505
2021-02-02,137570.1025676696
2021-02-03,138047.95536559427
2021-02-04,139628.61227410898
2021-02-05,140442.20327415867
2021-02-08,141509.30188235352
2021-02-09,141182.91881061633
2021-02-10,141186.52332010903
