,0
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,99850.0
2020-04-01,96279.1981028229
2020-04-02,98853.30735738299
2020-04-03,97909.6181876108
2020-04-06,104037.42437939467
2020-04-07,103432.93737556021
2020-04-08,105957.85654789834
2020-04-09,107058.19746755285
2020-04-13,107898.53209579592
2020-04-14,111742.62597644595
2020-04-15,110345.14050200442
2020-04-16,110888.04506986751
2020-04-17,113251.60821943202
2020-04-20,111305.50874252353
2020-04-21,108445.5327905007
2020-04-22,110855.35840683464
2020-04-23,110959.27548442513
2020-04-24,112185.47172680168
2020-04-27,113710.82974430169
2020-04-28,112331.16741702071
2020-04-29,115470.51165278324
2020-04-30,115217.65921206368
2020-05-01,112065.52810566741
2020-05-04,113301.32701711665
2020-05-05,114047.59802688587
2020-05-06,113922.27550296321
2020-05-07,114557.42897165923
2020-05-08,116619.65657513325
2020-05-11,116847.36911086638
2020-05-12,114671.5680977072
2020-05-13,113239.97890243874
2020-05-14,114674.00912804046
2020-05-15,115835.95872650297
2020-05-18,118632.32426828626
2020-05-19,117425.97376581153
2020-05-20,119496.77628557151
2020-05-21,118348.84643292104
2020-05-22,118323.51169927775
2020-05-26,118886.68195478142
2020-05-27,119466.81651603249
2020-05-28,118990.39127281748
2020-05-29,119745.7862793265
2020-06-01,120403.74399783206
2020-06-02,121053.02993613912
2020-06-03,121913.41565727457
2020-06-04,120950.46365366314
2020-06-05,123562.73438274325
2020-06-08,124965.8702735454
2020-06-09,125253.37389323786
2020-06-10,125705.9460370735
2020-06-11,119040.35763148688
2020-06-12,119651.51527821779
2020-06-15,120865.98158725888
2020-06-16,122628.79241799554
2020-06-17,122601.10929496198
2020-06-18,122765.46529913835
2020-06-19,122350.5781693962
2020-06-22,123419.05324760058
2020-06-23,124043.33167561468
2020-06-24,121003.22692406522
2020-06-25,122309.84363400817
2020-06-26,118418.5649238669
2020-06-29,120252.56436827454
2020-06-30,122437.98239083592
2020-07-01,124262.41905573139
2020-07-02,125187.1185155411
2020-07-06,128634.1878837899
2020-07-07,128278.19211266444
2020-07-08,129201.77230350419
2020-07-09,129574.48719030616
2020-07-10,132795.82987142206
2020-07-13,131079.3200966721
2020-07-14,132689.82949336641
2020-07-15,133227.4128093457
2020-07-16,132323.5778344791
2020-07-17,131747.18585619368
2020-07-20,134672.51081219682
2020-07-21,133983.45956163132
2020-07-22,134855.73636957182
2020-07-23,132268.36890750678
2020-07-24,131147.38913887006
2020-07-27,132998.93586434543
2020-07-28,131968.51088869895
2020-07-29,133003.37482871325
2020-07-30,132706.6341136802
2020-07-31,133511.9440161371
2020-08-03,134482.570764326
2020-08-04,135380.28148005894
2020-08-05,136524.35527708777
2020-08-06,137883.05001365408
2020-08-07,137151.57246185344
2020-08-10,136747.13546886283
2020-08-11,135261.1751481852
2020-08-12,138555.93646546904
2020-08-13,138934.03339581675
2020-08-14,139137.55759251193
2020-08-17,141365.31336468967
2020-08-18,142509.19554115928
2020-08-19,141568.67556202723
2020-08-20,143498.108610616
2020-08-21,144450.1846401876
2020-08-24,145384.36736300428
2020-08-25,145859.09376834237
2020-08-26,149284.16933648626
2020-08-27,149661.74940093115
2020-08-28,150863.4329459402
2020-08-31,131188.5564615982
2020-09-01,132454.2945295369
2020-09-02,134068.12461275648
2020-09-03,129028.1343883187
2020-09-04,127632.46069649741
2020-09-08,123624.88007852562
2020-09-09,125959.21797588209
2020-09-10,123597.9445274949
2020-09-11,123565.14231123548
2020-09-14,124812.03092785634
2020-09-15,125952.66057756395
2020-09-16,124675.31345569399
2020-09-17,123260.73721383007
2020-09-18,122227.03935438335
2020-09-21,121404.84456804446
2020-09-22,122752.4215313141
2020-09-23,119247.09905307971
2020-09-24,119817.89931443552
2020-09-25,121610.14414411473
2020-09-28,123345.20449605201
2020-09-29,123028.57890612322
2020-09-30,124219.00763526067
2020-10-01,125513.89922414193
2020-10-02,123310.63503174628
2020-10-05,125442.27406356887
2020-10-06,123425.35369140492
2020-10-07,125466.28795629216
2020-10-08,126412.32596402398
2020-10-09,127780.95449362333
2020-10-12,129874.28373555063
2020-10-13,129859.07057689941
2020-10-14,128462.94580287208
2020-10-15,127984.87667058305
2020-10-16,127745.46933681746
2020-10-19,125607.66361205041
2020-10-20,126238.42896318123
2020-10-21,125832.53563314151
2020-10-22,126259.40911403204
2020-10-23,126995.65834670063
2020-10-26,124851.39204994868
2020-10-27,125287.1234773889
2020-10-28,120315.15872455618
2020-10-29,122144.99990473993
2020-10-30,119890.26955679088
2020-11-02,120953.55506597766
2020-11-03,122959.65866086927
2020-11-04,126007.26403889869
2020-11-05,128213.15779343188
2020-11-06,128420.57528032082
2020-11-09,129626.26215343967
2020-11-10,128726.81943790248
2020-11-11,129788.98763941647
2020-11-12,128637.75287592594
2020-11-13,129869.77021587155
2020-11-16,130799.08268416513
2020-11-17,130023.51834988945
2020-11-18,129177.70608043736
2020-11-19,129665.74146468122
2020-11-20,128535.92020840145
2020-11-23,129388.7892353542
2020-11-24,131663.45131346068
2020-11-25,131921.78236796026
2020-11-27,132281.64230044928
2020-11-30,131610.77887106597
2020-12-01,133487.0374194482
2020-12-02,134044.01019419276
2020-12-03,133398.25021141215
2020-12-04,134154.58988261686
2020-12-07,134636.22094751592
2020-12-08,135195.79550918913
2020-12-09,133354.66601275356
2020-12-10,133373.08014846162
2020-12-11,134056.82067780165
2020-12-14,133647.73447259772
2020-12-15,134470.87169186756
2020-12-16,134583.44449582748
2020-12-17,135482.61021831012
2020-12-18,135460.80218322773
2020-12-21,134796.51038505716
2020-12-22,133816.97085155096
2020-12-23,133887.81472111383
2020-12-24,134320.91962949798
2020-12-28,136120.1270991956
2020-12-29,136237.4719541087
2020-12-30,136500.35756594528
2020-12-31,137126.11546919003
2021-01-04,135737.52675002394
2021-01-05,136445.90854411075
2021-01-06,135638.59463188465
2021-01-07,137578.80243336357
2021-01-08,138594.43825703603
2021-01-11,137412.61455738268
2021-01-12,137210.93295492735
2021-01-13,137708.04214950503
2021-01-14,136292.76698246264
2021-01-15,135076.84257142482
2021-01-19,136120.18834517334
2021-01-20,139455.68498557838
2021-01-21,139563.6111793775
2021-01-22,139259.49760656562
2021-01-25,139789.02818413373
2021-01-26,140235.02725015496
2021-01-27,135941.85022019164
2021-01-28,137235.68541464332
2021-01-29,134434.8653399907
2021-02-01,136567.2881938219
2021-02-02,138547.51142545528
2021-02-03,138955.55052165588
2021-02-04,140490.2085242439
2021-02-05,141254.07095034208
2021-02-08,142458.36580937688
2021-02-09,142080.08061976611
2021-02-10,142117.1928651469
