date,strategy,nav
2015-11-30,Bandit Meta-Strategy (UCB),1.0
2015-12-01,Bandit Meta-Strategy (UCB),1.0
2015-12-02,Bandit Meta-Strategy (UCB),1.0
2015-12-03,Bandit Meta-Strategy (UCB),1.0
2015-12-04,Bandit Meta-Strategy (UCB),1.0
2015-12-07,Bandit Meta-Strategy (UCB),1.0
2015-12-08,Bandit Meta-Strategy (UCB),1.0
2015-12-09,Bandit Meta-Strategy (UCB),1.0
2015-12-10,Bandit Meta-Strategy (UCB),1.0
2015-12-11,Bandit Meta-Strategy (UCB),1.0
2015-12-14,Bandit Meta-Strategy (UCB),1.0
2015-12-15,Bandit Meta-Strategy (UCB),1.0
2015-12-16,Bandit Meta-Strategy (UCB),1.0
2015-12-17,Bandit Meta-Strategy (UCB),1.0
2015-12-18,Bandit Meta-Strategy (UCB),1.0
2015-12-21,Bandit Meta-Strategy (UCB),1.0
2015-12-22,Bandit Meta-Strategy (UCB),1.0
2015-12-23,Bandit Meta-Strategy (UCB),1.0
2015-12-24,Bandit Meta-Strategy (UCB),1.0
2015-12-28,Bandit Meta-Strategy (UCB),1.0
2015-12-29,Bandit Meta-Strategy (UCB),1.0
2015-12-30,Bandit Meta-Strategy (UCB),1.0
2015-12-31,Bandit Meta-Strategy (UCB),0.9989000000000001
2016-01-04,Bandit Meta-Strategy (UCB),0.9814768430240242
2016-01-05,Bandit Meta-Strategy (UCB),0.9857079886095418
2016-01-06,Bandit Meta-Strategy (UCB),0.9851860616594122
2016-01-07,Bandit Meta-Strategy (UCB),0.9721498391507954
2016-01-08,Bandit Meta-Strategy (UCB),0.9567779030078813
2016-01-11,Bandit Meta-Strategy (UCB),0.9629580436988314
2016-01-12,Bandit Meta-Strategy (UCB),0.9687726209700752
2016-01-13,Bandit Meta-Strategy (UCB),0.9405102125945668
2016-01-14,Bandit Meta-Strategy (UCB),0.9542984893240308
2016-01-15,Bandit Meta-Strategy (UCB),0.9334646390291832
2016-01-19,Bandit Meta-Strategy (UCB),0.9385966176116383
2016-01-20,Bandit Meta-Strategy (UCB),0.9231511603204952
2016-01-21,Bandit Meta-Strategy (UCB),0.9271785826003905
2016-01-22,Bandit Meta-Strategy (UCB),0.9427747677890485
2016-01-25,Bandit Meta-Strategy (UCB),0.9350134599313497
2016-01-26,Bandit Meta-Strategy (UCB),0.9448473458695981
2016-01-27,Bandit Meta-Strategy (UCB),0.9313553155732118
2016-01-28,Bandit Meta-Strategy (UCB),0.9437220338230607
2016-01-29,Bandit Meta-Strategy (UCB),0.9623681916504231
2016-02-01,Bandit Meta-Strategy (UCB),0.96520011369032
