date,strategy,rolling_sharpe
2025-06-02,1. Buy & Hold,
2025-06-03,1. Buy & Hold,
2025-06-04,1. Buy & Hold,
2025-06-05,1. Buy & Hold,
2025-06-06,1. Buy & Hold,
2025-06-09,1. Buy & Hold,
2025-06-10,1. Buy & Hold,
2025-06-11,1. Buy & Hold,
2025-06-12,1. Buy & Hold,
2025-06-13,1. Buy & Hold,
2025-06-16,1. Buy & Hold,
2025-06-17,1. Buy & Hold,
2025-06-18,1. Buy & Hold,
2025-06-20,1. Buy & Hold,
2025-06-23,1. Buy & Hold,
2025-06-24,1. Buy & Hold,
2025-06-25,1. Buy & Hold,
2025-06-26,1. Buy & Hold,
2025-06-27,1. Buy & Hold,
2025-06-30,1. Buy & Hold,
2025-07-01,1. Buy & Hold,
2025-07-02,1. Buy & Hold,
2025-07-03,1. Buy & Hold,
2025-07-07,1. Buy & Hold,
2025-07-08,1. Buy & Hold,
2025-07-09,1. Buy & Hold,
2025-07-10,1. Buy & Hold,
2025-07-11,1. Buy & Hold,
2025-07-14,1. Buy & Hold,
2025-07-15,1. Buy & Hold,2.806915011618865
2025-07-16,1. Buy & Hold,3.0810710071970537
2025-07-17,1. Buy & Hold,3.1087352980732046
2025-07-18,1. Buy & Hold,3.0297194091722894
2025-07-21,1. Buy & Hold,5.077913315842369
2025-07-22,1. Buy & Hold,5.069519363395621
2025-07-23,1. Buy & Hold,5.0884225769931435
2025-07-24,1. Buy & Hold,4.022977834906916
2025-07-25,1. Buy & Hold,4.6433479444409524
2025-07-28,1. Buy & Hold,4.968701069875417
2025-07-29,1. Buy & Hold,4.432077554262937
2025-07-30,1. Buy & Hold,3.613392354445154
2025-07-31,1. Buy & Hold,5.056851979256071
2025-08-01,1. Buy & Hold,5.428230158466081
2025-08-04,1. Buy & Hold,6.3392650996913575
2025-08-05,1. Buy & Hold,4.790460441935383
2025-08-06,1. Buy & Hold,5.037816344669932
2025-08-07,1. Buy & Hold,4.87417481095251
2025-08-08,1. Buy & Hold,4.234874569461044
2025-08-11,1. Buy & Hold,4.281772677628921
2025-08-12,1. Buy & Hold,4.803284674670898
2025-08-13,1. Buy & Hold,5.638086799393559
2025-08-14,1. Buy & Hold,5.360680476363111
2025-08-15,1. Buy & Hold,5.361587851058217
2025-08-18,1. Buy & Hold,7.164737757707591
2025-08-19,1. Buy & Hold,6.1002413868703345
2025-08-20,1. Buy & Hold,4.685935541039587
2025-08-21,1. Buy & Hold,3.688501625813236
2025-08-22,1. Buy & Hold,3.687345247480438
2025-08-25,1. Buy & Hold,3.6211437695480932
2025-08-26,1. Buy & Hold,4.022076550257442
2025-08-27,1. Buy & Hold,3.3521584819324706
2025-08-28,1. Buy & Hold,3.423615697864957
2025-08-29,1. Buy & Hold,3.4237090361286753
2025-09-02,1. Buy & Hold,2.1224339771411156
2025-09-03,1. Buy & Hold,3.1674972258556653
2025-09-04,1. Buy & Hold,3.4406063888443903
2025-09-05,1. Buy & Hold,3.689612971946322
2025-09-08,1. Buy & Hold,3.6530783062863996
2025-09-09,1. Buy & Hold,3.855365519344475
2025-09-10,1. Buy & Hold,3.8555347932813535
2025-09-11,1. Buy & Hold,4.620431628186419
