strategy,asset,weight
1. Buy & Hold,TSLA,0.050005908672204905
1. Buy & Hold,WMT,0.0500059086722049
1. Buy & Hold,V,0.050005908672204884
1. Buy & Hold,META,0.05000590867220488
1. Buy & Hold,NFLX,0.05000590867220488
1. Buy & Hold,NVDA,0.05000590867220486
1. Buy & Hold,PG,0.05000590867220485
1. Buy & Hold,JNJ,0.05000590867220484
1. Buy & Hold,AAPL,0.050005908672204835
1. Buy & Hold,MSFT,0.050005908672204835
1. Buy & Hold,XOM,0.050005908672204835
1. Buy & Hold,KO,0.050005908672204835
1. Buy & Hold,JPM,0.05000590867220481
1. Buy & Hold,HD,0.0500059086722048
1. Buy & Hold,PFE,0.0500059086722048
1. Buy & Hold,DIS,0.0500059086722048
1. Buy & Hold,GOOGL,0.050005908672204794
1. Buy & Hold,MA,0.050005908672204794
1. Buy & Hold,BAC,0.05000590867220477
1. Buy & Hold,AMZN,0.050005908672204766
1. Buy & Hold,CASH,-0.00011817344409670991
10. Max Decorrelation,JNJ,0.1790319442807595
10. Max Decorrelation,NFLX,0.16852572632179327
10. Max Decorrelation,NVDA,0.15050331769811232
10. Max Decorrelation,KO,0.1319073092138916
10. Max Decorrelation,GOOGL,0.12106601854227605
10. Max Decorrelation,XOM,0.0623658572894458
10. Max Decorrelation,WMT,0.05650188841987906
10. Max Decorrelation,META,0.04560251546870179
10. Max Decorrelation,PFE,0.03847635225147812
10. Max Decorrelation,PG,0.03162262683727915
10. Max Decorrelation,AMZN,0.01064073424314517
10. Max Decorrelation,MSFT,0.004225939476947721
10. Max Decorrelation,CASH,-0.0004702300437095727
11. Sharpe Maximization,WMT,0.30027402109579127
11. Sharpe Maximization,JNJ,0.30027400121127207
11. Sharpe Maximization,GOOGL,0.3002738923360056
11. Sharpe Maximization,TSLA,0.055950186490240694
11. Sharpe Maximization,NVDA,0.0441411033368193
11. Sharpe Maximization,CASH,-0.0009136375941081713
12. CVaR Minimization,KO,0.30003133840023943
12. CVaR Minimization,JNJ,0.23906053080701042
12. CVaR Minimization,WMT,0.1330018748159443
12. CVaR Minimization,XOM,0.12879272454825885
12. CVaR Minimization,GOOGL,0.06656726556622372
12. CVaR Minimization,NVDA,0.04559068879317884
12. CVaR Minimization,NFLX,0.04287598308232077
12. CVaR Minimization,MSFT,0.036400242529019126
12. CVaR Minimization,PG,0.007784571081588841
12. CVaR Minimization,CASH,-0.00010686825743965952
2. Equal Weight,PG,0.050005908672204835
2. Equal Weight,HD,0.050005908672204835
2. Equal Weight,AAPL,0.05000590867220483
2. Equal Weight,MSFT,0.05000590867220483
2. Equal Weight,GOOGL,0.05000590867220483
2. Equal Weight,AMZN,0.05000590867220483
2. Equal Weight,META,0.05000590867220483
2. Equal Weight,NVDA,0.05000590867220483
2. Equal Weight,TSLA,0.05000590867220483
2. Equal Weight,JPM,0.05000590867220483
2. Equal Weight,V,0.05000590867220483
2. Equal Weight,JNJ,0.05000590867220483
2. Equal Weight,WMT,0.05000590867220483
2. Equal Weight,XOM,0.05000590867220483
2. Equal Weight,BAC,0.05000590867220483
2. Equal Weight,KO,0.05000590867220483
2. Equal Weight,PFE,0.05000590867220483
2. Equal Weight,DIS,0.05000590867220483
2. Equal Weight,NFLX,0.05000590867220483
2. Equal Weight,MA,0.05000590867220482
2. Equal Weight,CASH,-0.00011817344409671007
3. Quintile Momentum,V,0.25025886571763045
3. Quintile Momentum,PG,0.25025886571763045
3. Quintile Momentum,DIS,0.25025886571763045
3. Quintile Momentum,NFLX,0.25025886571763045
3. Quintile Momentum,CASH,-0.0010354628705217537
4. Quintile Low Vol,MSFT,0.2500158191143027
4. Quintile Low Vol,JNJ,0.2500158191143027
4. Quintile Low Vol,PG,0.2500158191143027
4. Quintile Low Vol,KO,0.2500158191143027
4. Quintile Low Vol,CASH,-6.327645721088236e-05
5. Mean Reversion,MSFT,0.07871370551037864
5. Mean Reversion,META,0.06952260877528449
5. Mean Reversion,NFLX,0.06690353659173907
5. Mean Reversion,NVDA,0.06394634090753923
5. Mean Reversion,HD,0.06358450661953663
5. Mean Reversion,V,0.06299837493617969
5. Mean Reversion,DIS,0.06252487074798856
5. Mean Reversion,MA,0.06124512116039171
5. Mean Reversion,TSLA,0.0574918736228629
5. Mean Reversion,PG,0.055969267028704174
5. Mean Reversion,XOM,0.04988826542757803
5. Mean Reversion,AMZN,0.04912175928099296
5. Mean Reversion,BAC,0.048323124148415886
5. Mean Reversion,JPM,0.046783402490207175
5. Mean Reversion,PFE,0.0382042900457675
5. Mean Reversion,WMT,0.03661670599474394
5. Mean Reversion,AAPL,0.035628509134888534
5. Mean Reversion,KO,0.035621047191017524
5. Mean Reversion,GOOGL,0.017381586772929062
5. Mean Reversion,CASH,-0.0004688963871457414
6. GMVP,KO,0.29394443411361404
6. GMVP,JNJ,0.2302081436355757
6. GMVP,MSFT,0.17833558105938627
6. GMVP,XOM,0.10317211479024284
6. GMVP,PG,0.076432993541612
6. GMVP,GOOGL,0.068305350960899
6. GMVP,WMT,0.023809791108025544
6. GMVP,NVDA,0.017204606867951153
6. GMVP,HD,0.005504316614073113
6. GMVP,NFLX,0.0022790015579870985
6. GMVP,AMZN,0.0008741517891012146
6. GMVP,BAC,8.50575607464754e-05
6. GMVP,CASH,-0.0001555435992143442
7. Inverse Volatility,JNJ,0.08451453872964143
7. Inverse Volatility,PG,0.0742781228712261
7. Inverse Volatility,KO,0.07125092553009528
7. Inverse Volatility,V,0.06493028871432516
7. Inverse Volatility,MA,0.06427501252750396
7. Inverse Volatility,MSFT,0.06252159770704487
7. Inverse Volatility,XOM,0.062215177360628905
7. Inverse Volatility,JPM,0.05966663566387024
7. Inverse Volatility,BAC,0.0555171741294685
7. Inverse Volatility,HD,0.050964157591927926
7. Inverse Volatility,DIS,0.050433446739344245
7. Inverse Volatility,AAPL,0.05015004011081223
7. Inverse Volatility,WMT,0.049919860541957455
7. Inverse Volatility,PFE,0.03861591407489838
7. Inverse Volatility,META,0.03522336358955974
7. Inverse Volatility,GOOGL,0.03377099197401319
7. Inverse Volatility,AMZN,0.032783243636253304
7. Inverse Volatility,NVDA,0.030307650462201796
7. Inverse Volatility,TSLA,0.02246494958484225
7. Inverse Volatility,NFLX,0.006272782954560339
7. Inverse Volatility,CASH,-7.587449417545097e-05
8. Risk Parity,JNJ,0.11814069720003462
8. Risk Parity,KO,0.11525965125209707
8. Risk Parity,PG,0.08402775933478322
8. Risk Parity,XOM,0.06324629715338778
8. Risk Parity,PFE,0.05718780923547861
8. Risk Parity,WMT,0.051843032719683935
8. Risk Parity,MSFT,0.05119373371685087
8. Risk Parity,HD,0.04946607417861177
8. Risk Parity,GOOGL,0.04533210844417592
8. Risk Parity,V,0.042285080227455155
8. Risk Parity,MA,0.04101582325172172
8. Risk Parity,JPM,0.03949164248580047
8. Risk Parity,BAC,0.03826160928095436
8. Risk Parity,DIS,0.03459513785904472
8. Risk Parity,AMZN,0.03323787806988917
8. Risk Parity,META,0.03196315096673621
8. Risk Parity,NVDA,0.030978271345822688
8. Risk Parity,AAPL,0.03023899209752211
8. Risk Parity,NFLX,0.023519437416011636
8. Risk Parity,TSLA,0.018800755932601523
8. Risk Parity,CASH,-8.49421686635118e-05
9. Max Diversification,JNJ,0.2655962734497505
9. Max Diversification,KO,0.21443531286030787
9. Max Diversification,GOOGL,0.10449496114385194
9. Max Diversification,NVDA,0.08662243072906306
9. Max Diversification,XOM,0.0766964929377584
9. Max Diversification,WMT,0.06437839868993483
9. Max Diversification,NFLX,0.05030901744416422
9. Max Diversification,PG,0.04862411603156183
9. Max Diversification,PFE,0.041182293694891806
9. Max Diversification,META,0.03421784497224899
9. Max Diversification,AMZN,0.008720679191820055
9. Max Diversification,MSFT,0.004984063808664105
9. Max Diversification,CASH,-0.0002618906974855809
Bandit Meta-Strategy (EXP3),KO,0.1959936460155164
Bandit Meta-Strategy (EXP3),JNJ,0.1826427165205974
Bandit Meta-Strategy (EXP3),MSFT,0.1099622831325969
Bandit Meta-Strategy (EXP3),PG,0.0810206374869965
Bandit Meta-Strategy (EXP3),XOM,0.07353854158523655
Bandit Meta-Strategy (EXP3),GOOGL,0.06984420290563569
Bandit Meta-Strategy (EXP3),WMT,0.05044246728840898
Bandit Meta-Strategy (EXP3),NFLX,0.03697926389939963
Bandit Meta-Strategy (EXP3),NVDA,0.03536450060664056
Bandit Meta-Strategy (EXP3),V,0.026018194533531998
Bandit Meta-Strategy (EXP3),DIS,0.02397390267477865
Bandit Meta-Strategy (EXP3),PFE,0.016091582813856014
Bandit Meta-Strategy (EXP3),META,0.01570907653491472
Bandit Meta-Strategy (EXP3),HD,0.015527533824939167
Bandit Meta-Strategy (EXP3),MA,0.013053635703882108
Bandit Meta-Strategy (EXP3),TSLA,0.012354459381005703
Bandit Meta-Strategy (EXP3),JPM,0.01131100078796068
Bandit Meta-Strategy (EXP3),BAC,0.010766002776684826
Bandit Meta-Strategy (EXP3),AMZN,0.010661135316883976
Bandit Meta-Strategy (EXP3),AAPL,0.009369087014700194
Bandit Meta-Strategy (EXP3),CASH,-0.0006238708041665699
Bandit Meta-Strategy (Thompson Sampling),JNJ,0.18994308698766096
Bandit Meta-Strategy (Thompson Sampling),KO,0.18301103829597873
Bandit Meta-Strategy (Thompson Sampling),PG,0.15431274018251911
Bandit Meta-Strategy (Thompson Sampling),MSFT,0.13772211148921643
Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.04252268443684811
Bandit Meta-Strategy (Thompson Sampling),NFLX,0.03979262399820125
Bandit Meta-Strategy (Thompson Sampling),WMT,0.03975097001309096
Bandit Meta-Strategy (Thompson Sampling),XOM,0.03157807658458107
Bandit Meta-Strategy (Thompson Sampling),V,0.029735161635249786
Bandit Meta-Strategy (Thompson Sampling),NVDA,0.027773243380742198
Bandit Meta-Strategy (Thompson Sampling),DIS,0.02291052110242426
Bandit Meta-Strategy (Thompson Sampling),META,0.014109735277847457
Bandit Meta-Strategy (Thompson Sampling),PFE,0.014014184765217014
Bandit Meta-Strategy (Thompson Sampling),HD,0.01171165543191608
Bandit Meta-Strategy (Thompson Sampling),MA,0.011435419993336709
Bandit Meta-Strategy (Thompson Sampling),TSLA,0.011434983879615874
Bandit Meta-Strategy (Thompson Sampling),JPM,0.010309590317615943
Bandit Meta-Strategy (Thompson Sampling),BAC,0.010079826875529264
Bandit Meta-Strategy (Thompson Sampling),AMZN,0.009656733882574212
Bandit Meta-Strategy (Thompson Sampling),AAPL,0.008712273031030868
