date,strategy,asset,weight
2015-11-30,Bandit Meta-Strategy (EXP3),AAPL,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),AMZN,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),BAC,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),CASH,-0.0011012113324657122
2015-11-30,Bandit Meta-Strategy (EXP3),DIS,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),GOOGL,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),HD,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),JNJ,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),JPM,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),KO,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),MA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),META,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),MSFT,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),NFLX,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),NVDA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),PFE,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),PG,0.05005506056662328
2015-11-30,Bandit Meta-Strategy (EXP3),TSLA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),V,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),WMT,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (EXP3),XOM,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),AAPL,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),AMZN,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),BAC,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),CASH,-0.0011012113324657122
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),DIS,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),HD,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),JNJ,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),JPM,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),KO,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),MA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),META,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),MSFT,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),NFLX,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),NVDA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),PFE,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),PG,0.05005506056662328
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),TSLA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),V,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),WMT,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (Thompson Sampling),XOM,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),AAPL,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),AMZN,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),BAC,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),CASH,-0.0011012113324657122
2015-11-30,Bandit Meta-Strategy (UCB),DIS,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),GOOGL,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),HD,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),JNJ,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),JPM,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),KO,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),MA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),META,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),MSFT,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),NFLX,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),NVDA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),PFE,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),PG,0.05005506056662328
2015-11-30,Bandit Meta-Strategy (UCB),TSLA,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),V,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),WMT,0.05005506056662329
2015-11-30,Bandit Meta-Strategy (UCB),XOM,0.05005506056662329
2015-12-01,Bandit Meta-Strategy (EXP3),AAPL,0.04892592242287099
2015-12-01,Bandit Meta-Strategy (EXP3),AMZN,0.05038425269671262
2015-12-01,Bandit Meta-Strategy (EXP3),BAC,0.05040158747872867
2015-12-01,Bandit Meta-Strategy (EXP3),CASH,-0.0010851764589889555
2015-12-01,Bandit Meta-Strategy (EXP3),DIS,0.05016084011101676
2015-12-01,Bandit Meta-Strategy (EXP3),GOOGL,0.05068019191137025
2015-12-01,Bandit Meta-Strategy (EXP3),HD,0.049528842444348166
2015-12-01,Bandit Meta-Strategy (EXP3),JNJ,0.049871889633144234
2015-12-01,Bandit Meta-Strategy (EXP3),JPM,0.05001416561613355
2015-12-01,Bandit Meta-Strategy (EXP3),KO,0.04963868683720437
2015-12-01,Bandit Meta-Strategy (EXP3),MA,0.04933124007946581
2015-12-01,Bandit Meta-Strategy (EXP3),META,0.05068901411380072
2015-12-01,Bandit Meta-Strategy (EXP3),MSFT,0.05011578495054791
2015-12-01,Bandit Meta-Strategy (EXP3),NFLX,0.05014210678793974
2015-12-01,Bandit Meta-Strategy (EXP3),NVDA,0.05092790472298564
2015-12-01,Bandit Meta-Strategy (EXP3),PFE,0.050605643397798265
2015-12-01,Bandit Meta-Strategy (EXP3),PG,0.05005120031559525
2015-12-01,Bandit Meta-Strategy (EXP3),TSLA,0.050810745081367244
2015-12-01,Bandit Meta-Strategy (EXP3),V,0.04988807563933646
2015-12-01,Bandit Meta-Strategy (EXP3),WMT,0.04945194950281309
2015-12-01,Bandit Meta-Strategy (EXP3),XOM,0.04946513271580922
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),AAPL,0.04892592242287099
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),AMZN,0.05038425269671262
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),BAC,0.05040158747872867
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),CASH,-0.0010851764589889555
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),DIS,0.05016084011101676
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.05068019191137025
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),HD,0.049528842444348166
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),JNJ,0.049871889633144234
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),JPM,0.05001416561613355
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),KO,0.04963868683720437
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),MA,0.04933124007946581
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),META,0.05068901411380072
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),MSFT,0.05011578495054791
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),NFLX,0.05014210678793974
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),NVDA,0.05092790472298564
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),PFE,0.050605643397798265
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),PG,0.05005120031559525
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),TSLA,0.050810745081367244
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),V,0.04988807563933646
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),WMT,0.04945194950281309
2015-12-01,Bandit Meta-Strategy (Thompson Sampling),XOM,0.04946513271580922
2015-12-01,Bandit Meta-Strategy (UCB),AAPL,0.04892592242287099
2015-12-01,Bandit Meta-Strategy (UCB),AMZN,0.05038425269671262
2015-12-01,Bandit Meta-Strategy (UCB),BAC,0.05040158747872867
2015-12-01,Bandit Meta-Strategy (UCB),CASH,-0.0010851764589889555
2015-12-01,Bandit Meta-Strategy (UCB),DIS,0.05016084011101676
2015-12-01,Bandit Meta-Strategy (UCB),GOOGL,0.05068019191137025
2015-12-01,Bandit Meta-Strategy (UCB),HD,0.049528842444348166
2015-12-01,Bandit Meta-Strategy (UCB),JNJ,0.049871889633144234
2015-12-01,Bandit Meta-Strategy (UCB),JPM,0.05001416561613355
2015-12-01,Bandit Meta-Strategy (UCB),KO,0.04963868683720437
2015-12-01,Bandit Meta-Strategy (UCB),MA,0.04933124007946581
2015-12-01,Bandit Meta-Strategy (UCB),META,0.05068901411380072
2015-12-01,Bandit Meta-Strategy (UCB),MSFT,0.05011578495054791
2015-12-01,Bandit Meta-Strategy (UCB),NFLX,0.05014210678793974
2015-12-01,Bandit Meta-Strategy (UCB),NVDA,0.05092790472298564
2015-12-01,Bandit Meta-Strategy (UCB),PFE,0.050605643397798265
2015-12-01,Bandit Meta-Strategy (UCB),PG,0.05005120031559525
2015-12-01,Bandit Meta-Strategy (UCB),TSLA,0.050810745081367244
2015-12-01,Bandit Meta-Strategy (UCB),V,0.04988807563933646
2015-12-01,Bandit Meta-Strategy (UCB),WMT,0.04945194950281309
2015-12-01,Bandit Meta-Strategy (UCB),XOM,0.04946513271580922
2015-12-02,Bandit Meta-Strategy (EXP3),AAPL,0.04887957839471017
2015-12-02,Bandit Meta-Strategy (EXP3),AMZN,0.05056725123786153
2015-12-02,Bandit Meta-Strategy (EXP3),BAC,0.050270787640482824
2015-12-02,Bandit Meta-Strategy (EXP3),CASH,-0.0010940315680260807
2015-12-02,Bandit Meta-Strategy (EXP3),DIS,0.049960982380193884
2015-12-02,Bandit Meta-Strategy (EXP3),GOOGL,0.05070652846020527
2015-12-02,Bandit Meta-Strategy (EXP3),HD,0.04970270667000634
2015-12-02,Bandit Meta-Strategy (EXP3),JNJ,0.05012657659434895
2015-12-02,Bandit Meta-Strategy (EXP3),JPM,0.04971379200838369
2015-12-02,Bandit Meta-Strategy (EXP3),KO,0.049903726552275374
2015-12-02,Bandit Meta-Strategy (EXP3),MA,0.04931227033911376
2015-12-02,Bandit Meta-Strategy (EXP3),META,0.05060172696771715
2015-12-02,Bandit Meta-Strategy (EXP3),MSFT,0.05051558323218192
2015-12-02,Bandit Meta-Strategy (EXP3),NFLX,0.051986720795501574
2015-12-02,Bandit Meta-Strategy (EXP3),NVDA,0.05095154471060362
2015-12-02,Bandit Meta-Strategy (EXP3),PFE,0.049925983560432284
2015-12-02,Bandit Meta-Strategy (EXP3),PG,0.05035995125400652
2015-12-02,Bandit Meta-Strategy (EXP3),TSLA,0.05010228861483363
2015-12-02,Bandit Meta-Strategy (EXP3),V,0.049747589566787535
