,total_return,cagr,volatility,sharpe_ratio,max_drawdown,calmar_ratio,sortino_ratio,win_rate
1. Buy & Hold,0.0,0.0,0.0,-inf,0.0,0.0,0.0,0.0
2. Equal Weight,0.17532912376461884,0.3813985491693068,0.12621813875509844,2.486027130568747,-0.06256713958243335,6.095828444687124,3.67444935268354,0.48
3. Quintile Momentum,-0.003396041185644738,-0.006780549275554826,0.09999289812995306,-0.2190432899312708,-0.09028601791659593,-0.07510076789319178,-0.24330858513785505,0.2
4. Quintile Low Vol,0.0325065669316249,0.06606981075692997,0.07950467640440634,0.5992145110503659,-0.050197867721694545,1.3161875943263597,0.5841841988927976,0.208
5. Mean Reversion,0.17031188187335555,0.369629900853955,0.1256249255632784,2.4283463748829774,-0.06905741124228097,5.352501552036836,3.762497834463133,0.448
6. GMVP,0.12318539259440131,0.2615454261374395,0.08227299753381145,2.6454156098264447,-0.02516055937703258,10.395056096256234,5.555439494517797,0.36
7. Inverse Volatility,0.12657791713436573,0.2691778033748058,0.09402505427772653,2.390468290705156,-0.038925607352689684,6.915185701173296,3.613760237307051,0.376
8. Risk Parity,0.12948052963730117,0.2757262668297584,0.11342979265854071,2.0448912576490845,-0.06256713958248443,4.406886245235151,2.7577991167675604,0.392
9. Max Diversification,0.12638550174645102,0.26874429854460424,0.11583733239770425,1.956956542870567,-0.06256713958243292,4.295294628109546,2.648776087065698,0.384
10. Max Decorrelation,0.12638550174645102,0.26874429854460424,0.11583733239770425,1.956956542870567,-0.06256713958243292,4.295294628109546,2.648776087065698,0.384
11. Sharpe Maximization,0.2052061956038993,0.4525219739220243,0.09918311687118725,3.6439249170350103,-0.024732438025074008,18.296698993574864,7.2746169564584,0.36
12. CVaR Minimization,0.12638550174645102,0.26874429854460424,0.11583733239770425,1.956956542870567,-0.06256713958243292,4.295294628109546,2.648776087065698,0.384
