strategy,cagr,volatility,sharpe_ratio,max_drawdown,calmar_ratio,sortino_ratio,win_rate
1. Buy & Hold,0.17248473316069002,0.1907764779086427,0.8256069805446112,-0.3403718876396239,0.5067537579464023,0.9764168400666753,0.544767210505372
2. Equal Weight,0.17248473316069002,0.1907764779086427,0.8256069805446112,-0.3403718876396239,0.5067537579464023,0.9764168400666753,0.544767210505372
3. Quintile Momentum,0.10296508023502837,0.2686897241975205,0.4270588521331566,-0.5220570008014266,0.19722957469579633,0.5112331686881628,0.5033824114604059
4. Quintile Low Vol,0.07797883437750475,0.14428639366273888,0.4542575428764495,-0.20843870926353983,0.3741091789189314,0.5626194325134062,0.477516912057302
5. Mean Reversion,0.2822611747104582,0.27684392181969986,0.9682014687513543,-0.3883823198180901,0.7267611327999256,1.100927940370362,0.5324313569438918
6. GMVP,0.10187265769689602,0.1528635059637197,0.5810344424143605,-0.2648903491220997,0.38458425546465796,0.6604736407530948,0.5344210107441305
7. Inverse Volatility,0.14501692352144246,0.1618880492540635,0.7947529206685425,-0.2859415455564295,0.5071558357819114,0.9099994665488171,0.5216872264226025
8. Risk Parity,0.1372313228696762,0.1649884497459759,0.7415236988410998,-0.2935715027341277,0.46745450969047025,0.8589568563231559,0.5344210107441305
9. Max Diversification,0.1656549522756421,0.16531526352590267,0.8899236361402171,-0.27377801861364004,0.6050703161433023,1.0403086886935795,0.5376044568245125
10. Max Decorrelation,0.24437026564931652,0.21002763737723973,1.052281379139805,-0.3303299603031971,0.7397762692340062,1.265148346373843,0.5467568643056109
11. Sharpe Maximization,0.239045862553664,0.29659193975292814,0.8103546173928003,-0.4095381941032064,0.5836961387133108,0.8539788001679052,0.530441703143653
12. CVaR Minimization,0.07575010034483132,0.16057698170877355,0.41295352399041213,-0.3046047052991939,0.2486832902677153,0.4404590060852267,0.5268603263032232
