,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999650.0
2021-01-01,999665.0382661154
2021-01-04,1000567.4569288056
2021-01-05,995373.6281900818
2021-01-06,990295.2561897916
2021-01-07,981658.139544282
2021-01-08,975184.3908313513
2021-01-11,960763.7720244154
2021-01-12,964299.179635743
2021-01-13,966076.159262142
2021-01-14,962892.910612788
2021-01-15,971405.2869570644
2021-01-18,972018.401344466
2021-01-19,970977.0599480912
2021-01-20,971858.9197395328
2021-01-21,980301.2134310522
2021-01-22,982248.5012432294
2021-01-25,977615.8869689155
2021-01-26,975877.0591217967
2021-01-27,967817.1573810983
2021-01-28,981143.4438773529
2021-01-29,981123.1261126697
2021-02-01,978111.281492081
2021-02-02,963362.5988183538
2021-02-03,969304.2638525566
2021-02-04,957371.6271247626
2021-02-05,956411.4737241876
2021-02-08,957499.349010833
2021-02-09,952871.9820114998
2021-02-10,951929.9787770923
2021-02-11,942609.9065815344
2021-02-12,951208.5274064456
2021-02-15,960749.7512376257
2021-02-16,962437.8659603015
2021-02-17,972772.0107511815
2021-02-18,974728.065019294
2021-02-19,974790.4543473534
2021-02-22,971796.3034128812
2021-02-23,965700.1600664728
2021-02-24,961178.6952942619
2021-02-25,958911.9995721241
2021-02-26,958888.3256940313
2021-03-01,954614.1695291526
2021-03-02,945980.2554421219
2021-03-03,950786.5560417341
2021-03-04,953435.076425271
2021-03-05,957628.3993685729
2021-03-08,947562.5169195078
2021-03-09,943129.7068882853
2021-03-10,950954.4809562288
2021-03-11,953536.028733471
2021-03-12,955417.3651754819
2021-03-15,964628.7037466534
2021-03-16,971297.8953178304
2021-03-17,971667.0952593494
2021-03-18,972843.270675365
2021-03-19,974812.2164907288
2021-03-22,987570.3694888738
2021-03-23,982200.3630880214
2021-03-24,976297.7215173771
2021-03-25,975785.0071095316
2021-03-26,977681.1273172885
2021-03-29,993561.5139096305
2021-03-30,1014155.8774296527
2021-03-31,1014138.6218515921
2021-04-01,1009518.3269951305
2021-04-02,1026449.914262173
2021-04-05,1022095.53104474
2021-04-06,1025168.382814408
2021-04-07,1016726.7655014067
2021-04-08,1007285.4961157802
2021-04-09,999387.4680018814
2021-04-12,996187.0517048824
2021-04-13,998449.6662497271
2021-04-14,1027684.81648133
2021-04-15,1026934.3071803692
2021-04-16,1027938.1817035405
2021-04-19,1025699.2149965947
2021-04-20,1027355.486438867
2021-04-21,1034485.7342996506
2021-04-22,1031126.3902207669
2021-04-23,1035200.8743386546
2021-04-26,1030376.7273932983
2021-04-27,1025138.482661013
2021-04-28,1020395.4929972272
2021-04-29,1030729.8274623507
2021-04-30,1030705.8138131859
2021-05-03,1043691.9331424035
2021-05-04,1045416.6512612867
2021-05-05,1055403.7819237013
2021-05-06,1050641.9280348427
2021-05-07,1065863.6366428982
2021-05-10,1064515.567430565
2021-05-11,1061856.2782346332
2021-05-12,1060020.335600864
2021-05-13,1066317.4536406547
2021-05-14,1071923.5670599302
2021-05-17,1075343.6559585917
2021-05-18,1077600.9348452224
2021-05-19,1071305.7050360732
2021-05-20,1068648.3426764118
2021-05-21,1065018.294675542
2021-05-24,1066104.1848886237
2021-05-25,1074786.866968758
2021-05-26,1076367.7450642965
2021-05-27,1077483.7165035864
2021-05-28,1060769.5974320453
2021-05-31,1060740.6877870858
2021-06-01,1068745.032879105
2021-06-02,1066271.0479914418
2021-06-03,1049537.2815677586
2021-06-04,1052892.5307974524
2021-06-07,1050362.4624961927
2021-06-08,1050211.5873181603
2021-06-09,1065197.2466224174
2021-06-10,1063999.0653393504
2021-06-11,1063271.3454915904
2021-06-14,1054587.1170424484
2021-06-15,1058389.5895689933
2021-06-16,1057094.5487527223
2021-06-17,1040392.00808499
2021-06-18,1023290.7218511454
2021-06-21,1024963.0594759193
2021-06-22,1032466.0899551826
2021-06-23,1030784.5835907309
2021-06-24,1042954.9250983769
2021-06-25,1037598.7356950144
2021-06-28,1039733.4581524978
2021-06-29,1046489.0616826183
2021-06-30,1046467.3405912959
2021-07-01,1032655.2647966241
2021-07-02,1033600.7900002735
2021-07-05,1031494.6594091383
2021-07-06,1030778.3789115053
2021-07-07,1054109.6310465164
2021-07-08,1060510.89500377
2021-07-09,1064330.7259143498
2021-07-12,1077591.0783903257
2021-07-13,1080936.331094569
2021-07-14,1089492.076757475
2021-07-15,1087690.805950598
2021-07-16,1099686.767078549
2021-07-19,1119373.1153705602
2021-07-20,1124034.6969844056
2021-07-21,1121679.8534618225
2021-07-22,1116954.5172462491
2021-07-23,1116924.1536097063
2021-07-26,1111886.4613926464
2021-07-27,1108178.2902479002
2021-07-28,1117709.2651372121
2021-07-29,1125462.0504335342
2021-07-30,1125448.7548731768
2021-08-02,1128758.5388224944
2021-08-03,1144502.4390908377
2021-08-04,1146522.8043611683
2021-08-05,1140736.8169781265
2021-08-06,1148264.4969209246
2021-08-09,1150758.0936586335
2021-08-10,1145864.211798553
2021-08-11,1159812.6483289385
2021-08-12,1154525.3596805895
2021-08-13,1148811.5665139908
2021-08-16,1145272.5726664986
2021-08-17,1146680.1086014293
2021-08-18,1160998.4427226423
2021-08-19,1163275.121538006
2021-08-20,1153173.7491732952
2021-08-23,1131624.385721956
2021-08-24,1117131.2053722
2021-08-25,1104471.8479390375
2021-08-26,1114524.7512702758
2021-08-27,1107789.151793348
2021-08-30,1116706.109627317
2021-08-31,1116688.1619592134
2021-09-01,1109414.3951906527
2021-09-02,1112611.159530054
2021-09-03,1132694.7065531057
2021-09-06,1136719.428754972
2021-09-07,1145854.551216082
2021-09-08,1166503.303774019
2021-09-09,1158290.307562884
2021-09-10,1155925.1995418346
2021-09-13,1160015.199536385
2021-09-14,1163624.8970881514
2021-09-15,1152855.7257300983
2021-09-16,1153945.9290031297
2021-09-17,1173049.7690021144
2021-09-20,1179735.71278154
2021-09-21,1166760.7310039913
2021-09-22,1163461.34936397
2021-09-23,1175495.294649736
2021-09-24,1170026.7656187508
2021-09-27,1156279.3395312368
2021-09-28,1185084.6976261255
2021-09-29,1180779.4941882773
2021-09-30,1180762.4402136125
2021-10-01,1184824.426109108
2021-10-04,1186628.1967914926
2021-10-05,1171619.5443967052
2021-10-06,1177442.2345105102
2021-10-07,1164793.4012518474
2021-10-08,1162756.669734453
2021-10-11,1163894.1952505792
2021-10-12,1169530.893609353
2021-10-13,1158069.9685104724
2021-10-14,1154697.7827792268
