,ASSET_1,ASSET_2,ASSET_3,ASSET_4,ASSET_5,ASSET_6,ASSET_7,ASSET_8,ASSET_9,ASSET_10,ASSET_11,ASSET_12,ASSET_13,ASSET_14,ASSET_15,CASH
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-31,5.860272376490213e-13,9.100672419953496e-13,1.9271108172736386e-12,1.4747863411112653e-12,1.5721110001330137e-12,2.501649430902109e-12,6.920077106666894e-12,7.931060918551572e-13,0.0,1.6786718828962834e-11,0.30010503675393385,0.30010503675839423,5.416241010166199e-13,0.15298419325234994,0.24715585574419882,-0.0003501225428900115
2021-01-01,5.89853200910089e-13,9.243383170689807e-13,1.9460428555052918e-12,1.4880567084135704e-12,1.5737251000587906e-12,2.514919795870542e-12,7.039240204075776e-12,7.784270592989641e-13,0.0,1.6592759078210516e-11,0.3020882567895378,0.30648313575727043,5.362337176264897e-13,0.1464048470520562,0.2453738776430416,-0.000350117275889795
2021-01-04,5.945248721775142e-13,9.287406891135476e-13,1.9537740391765327e-12,1.4823597733601912e-12,1.5483642918088302e-12,2.53010988914784e-12,6.956280313442698e-12,8.021093808156516e-13,0.0,1.643588467479088e-11,0.29897219825650284,0.3058827246988999,5.337869277197123e-13,0.149332724655351,0.24616215385819396,-0.00034980150271357856
2021-01-05,5.936141038708784e-13,9.516663640043956e-13,1.9655155579477025e-12,1.5036620714569906e-12,1.5454279317740406e-12,2.55601997964248e-12,7.024520560173484e-12,7.850195177018031e-13,0.0,1.6860156758057678e-11,0.29874342807380855,0.3019168733151183,5.40133806955898e-13,0.15043420006746291,0.24925712526539662,-0.00035162675611208994
2021-01-06,5.978567166126467e-13,9.616660464240736e-13,2.006976402339475e-12,1.521653144913348e-12,1.534028885139882e-12,2.614892406769722e-12,7.219509263297433e-12,8.246098656082308e-13,0.0,1.70181988707916e-11,0.29029277863060005,0.3064523706416726,5.379733290003677e-13,0.15659135058622917,0.24701693005375233,-0.0003534299470913773
2021-01-07,5.936101051974092e-13,9.65718675007536e-13,1.981959201970299e-12,1.5487055817599452e-12,1.5091835862497776e-12,2.6397594353952815e-12,7.081440612912653e-12,8.284188014884035e-13,0.0,1.7271834590714595e-11,0.2888918976118441,0.3091436502822019,5.43170545588624e-13,0.15941923966840926,0.24290175200216335,-0.00035653959958247943
2021-01-08,6.01015166604427e-13,9.457337065015154e-13,1.982054361380619e-12,1.550694441661781e-12,1.5313649984825138e-12,2.6589584607678007e-12,6.995826999682839e-12,8.226068649874402e-13,0.0,1.7373038196894525e-11,0.2882217669366591,0.30882984171711936,5.537505901249237e-13,0.15905456102838253,0.2442527367658344,-0.0003589064830104824
2021-01-11,6.226653290759129e-13,9.463105345144026e-13,1.9720851920197476e-12,1.5885671020253938e-12,1.542019500630371e-12,2.6887720615797144e-12,7.02857207354208e-12,8.322105756947018e-13,0.0,1.7861370481088612e-11,0.2967747392794046,0.30613441696631116,5.510106952496447e-13,0.15318084143842145,0.24427429578316012,-0.000364293502931026
2021-01-12,6.261137990461649e-13,9.479893198798192e-13,1.960656013998047e-12,1.5827865866778443e-12,1.5239869118299089e-12,2.6868596738477644e-12,7.0777813118021905e-12,8.104982017901166e-13,0.0,1.806154601929097e-11,0.2938409591902502,0.30877387734922845,5.76402222383199e-13,0.15241555305861676,0.24533256826064478,-0.00036295789459471484
2021-01-13,6.207276633635668e-13,9.481965334322438e-13,1.9672763223223614e-12,1.5838550317779816e-12,1.5028133878372165e-12,2.6899270072514808e-12,7.206808622359645e-12,8.14472751299583e-13,0.0,1.797016913070927e-11,0.297004595937694,0.30981550179750333,5.660511673485726e-13,0.1531045163712792,0.24043767613533423,-0.00036229027768092196
2021-01-14,6.191789875705491e-13,9.533704004614178e-13,1.9806192075551398e-12,1.5678581526046378e-12,1.5275584108243374e-12,2.7195342893421376e-12,7.164513534084565e-12,7.996809458071173e-13,0.0,1.7912941773746788e-11,0.2986761782247574,0.30909379878508414,5.482218205424049e-13,0.15261065259824064,0.23998285833712674,-0.00036348798100222684
2021-01-15,6.175497970331709e-13,9.385504048602535e-13,1.9993539720016292e-12,1.5204715300598523e-12,1.538764136207081e-12,2.6888655364033167e-12,7.186751663098652e-12,7.938845110615276e-13,0.0,1.7657253420252708e-11,0.2909328948527792,0.3138852171276108,5.426282757274564e-13,0.1519698585403724,0.24357233219760854,-0.000360302753855065
2021-01-18,6.112647540705778e-13,9.43825833457182e-13,1.9858741885588226e-12,1.5176388300039381e-12,1.5396233567908424e-12,2.636386289698723e-12,7.109356123471212e-12,8.088916197989446e-13,0.0,1.7636959758980546e-11,0.2920345230384071,0.31228985600758286,5.554876053086422e-13,0.15140559325473402,0.2446301031517156,-0.0003600754877848925
2021-01-19,6.186681933470468e-13,9.376162910927676e-13,2.021975866744966e-12,1.4930181619507656e-12,1.5722697110356677e-12,2.627498313899444e-12,7.096287028056418e-12,7.883883306163009e-13,0.0,1.7378890089939996e-11,0.28961102837993735,0.3120599573478521,5.657292872397006e-13,0.15222730802017745,0.24646216787399672,-0.0003604616570639796
2021-01-20,6.118310100509157e-13,9.28624973525617e-13,2.0598965167117227e-12,1.4795030780920703e-12,1.6029398109623566e-12,2.6178246375365225e-12,7.092679330484553e-12,7.999353061771061e-13,0.0,1.734112690801654e-11,0.28766796645812265,0.31164168265812525,5.68872411832434e-13,0.15464570197723004,0.24640478344742686,-0.0003601345760080108
2021-01-21,6.102294380109455e-13,9.361067698544092e-13,2.051086878143657e-12,1.4724224018390015e-12,1.5603065044527002e-12,2.508608620051999e-12,7.071052330943668e-12,7.922951535786251e-13,0.0,1.7264575625807934e-11,0.28504896512505296,0.3149947894537141,5.651292669423643e-13,0.1513139988909699,0.24899927961464446,-0.0003570331192134311
2021-01-22,6.078909846081569e-13,9.394430009475849e-13,2.0369893196189754e-12,1.4589631709559652e-12,1.5592910790805225e-12,2.5048988085721293e-12,7.10534329987379e-12,7.880273859578022e-13,0.0,1.7122406532077432e-11,0.28827902108411485,0.31295328009704826,5.618740943751076e-13,0.1538141112048407,0.24530991288757775,-0.00035632530826670226
2021-01-25,6.01988872074148e-13,9.425737642630663e-13,2.036463027977231e-12,1.4500405970771138e-12,1.5638305028213128e-12,2.5334878916283723e-12,7.140748759690229e-12,7.955207835625565e-13,0.0,1.7119777091381746e-11,0.2910906116548601,0.31189500475709114,5.564560488378275e-13,0.1529833328646352,0.24438906451052775,-0.000358013821855095
2021-01-26,6.052295924311801e-13,9.669237473509937e-13,2.0248369557069476e-12,1.4460920182461916e-12,1.5659040143674904e-12,2.551747345495507e-12,7.18155734033883e-12,8.117590488703329e-13,0.0,1.6522579472455394e-11,0.28940745140393204,0.31839524423665105,5.424321454516904e-13,0.14494300422857284,0.24761295183121435,-0.0003586517345893643
2021-01-27,6.117960314754525e-13,9.64436164884795e-13,2.0204910165987375e-12,1.442323934763426e-12,1.5815573656202025e-12,2.553207609353812e-12,7.292327433692744e-12,7.857263957361775e-13,0.0,1.6376508136243112e-11,0.29074650528948537,0.3182959245249371,5.549017881012109e-13,0.1412808928000367,0.2500383159081147,-0.00036163855675703854
2021-01-28,6.067899733729112e-13,9.694346026971598e-13,1.9831873241949507e-12,1.428433548696445e-12,1.5263735652380926e-12,2.442132312170965e-12,7.27795840476401e-12,7.753008219127129e-13,0.0,1.5816995779198664e-11,0.28935096507243996,0.3240334978868083,5.516910902444037e-13,0.14014337754856807,0.24682888609463421,-0.00035672663582895174
