,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999649.9999999999
2021-01-01,999494.0237671458
2021-01-04,1002051.4508543338
2021-01-05,1004784.2172358403
2021-01-06,1010106.1495945491
2021-01-07,1004380.9192608529
2021-01-08,999718.0483294058
2021-01-11,993981.3837840896
2021-01-12,999171.5113369033
2021-01-13,1000698.1773810777
2021-01-14,995183.0518358264
2021-01-15,999694.5801132692
2021-01-18,1000956.338891223
2021-01-19,999800.195358432
2021-01-20,1004018.4257564961
2021-01-21,1004492.2376066921
2021-01-22,1002452.154312122
2021-01-25,1000235.9856998923
2021-01-26,994190.1383199997
2021-01-27,985792.9688459218
2021-01-28,988431.2459990918
2021-01-29,988413.3370487246
2021-02-01,990913.9651467343
2021-02-02,984597.3964150139
2021-02-03,988098.4717451348
2021-02-04,980548.4778578575
2021-02-05,979439.7777855985
2021-02-08,982875.6695414614
2021-02-09,979830.9281273432
2021-02-10,980295.3754948671
2021-02-11,979554.6106192385
2021-02-12,979799.5380187372
2021-02-15,982383.103365049
2021-02-16,978406.5385745949
2021-02-17,974782.1326051009
2021-02-18,976643.514757945
2021-02-19,979381.5080172888
2021-02-22,981613.9032763737
2021-02-23,979192.1865569771
2021-02-24,976406.9477661037
2021-02-25,980181.3784565021
2021-02-26,980164.8807906911
2021-03-01,981785.5958891633
2021-03-02,981685.3758563678
2021-03-03,984070.2167794312
2021-03-04,988733.5082793154
2021-03-05,985409.5655456454
2021-03-08,986600.3622527451
2021-03-09,981423.0061139327
2021-03-10,984135.8659556212
2021-03-11,986279.0274940162
2021-03-12,984654.0297993604
2021-03-15,987564.6091997596
2021-03-16,993719.7496812714
2021-03-17,991236.1406009983
2021-03-18,991385.5207655414
2021-03-19,992107.4840881119
2021-03-22,988630.3602865883
2021-03-23,982001.738925108
2021-03-24,979387.8935863557
2021-03-25,979869.7582355615
2021-03-26,980342.9170612306
2021-03-29,985413.9619375807
2021-03-30,984884.791960594
2021-03-31,984869.6641949379
2021-04-01,978941.1622008813
2021-04-02,982818.4219751053
2021-04-05,985490.0149664494
2021-04-06,987051.0818539326
2021-04-07,988066.7712818956
2021-04-08,983792.7672912033
2021-04-09,986667.5067958103
2021-04-12,987014.2732837459
2021-04-13,988616.7545243428
2021-04-14,996651.3146838224
2021-04-15,995720.3945157693
2021-04-16,997228.4642712926
2021-04-19,998220.0617704464
2021-04-20,996418.0886389752
2021-04-21,997276.8478532941
2021-04-22,996293.5715869148
2021-04-23,998536.3111975809
2021-04-26,1001632.4747434057
2021-04-27,997449.6040683909
2021-04-28,996763.7851348071
2021-04-29,998866.2261350033
2021-04-30,998849.4720925265
2021-05-03,1003915.8041703494
2021-05-04,1006987.0583931858
2021-05-05,1005584.3012180303
2021-05-06,1004820.0840898637
2021-05-07,1009978.7140947238
2021-05-10,1010251.7166480813
2021-05-11,1009532.2984602555
2021-05-12,1007076.5576664392
2021-05-13,1004169.7760998494
2021-05-14,1001633.3389240385
2021-05-17,1001605.1050783016
2021-05-18,997347.430483087
2021-05-19,995180.6899248612
2021-05-20,990923.3638215316
2021-05-21,989724.4148286893
2021-05-24,989873.2502290581
2021-05-25,990680.4001689078
2021-05-26,992162.4362227665
2021-05-27,991642.7073869274
2021-05-28,988634.900927977
2021-05-31,988617.5130265477
2021-06-01,995017.2118434802
2021-06-02,995020.3494305147
2021-06-03,990108.8807178714
2021-06-04,993865.1410223991
2021-06-07,994069.592518588
2021-06-08,993591.0734916289
2021-06-09,996035.6474413407
2021-06-10,997970.5954409853
2021-06-11,995888.6956793072
2021-06-14,996715.8127768093
2021-06-15,994957.9782923474
2021-06-16,996069.2555206633
2021-06-17,990825.3624087957
2021-06-18,987491.9313021763
2021-06-21,985658.0774132664
2021-06-22,985167.174360819
2021-06-23,986829.3138709927
2021-06-24,989959.3768529628
2021-06-25,987699.2351948981
2021-06-28,987776.9031372666
2021-06-29,981943.8105169414
2021-06-30,981927.5786748988
2021-07-01,977644.1654559877
2021-07-02,970762.4216612768
2021-07-05,966901.0985222117
2021-07-06,966321.2742780523
2021-07-07,970224.9417486476
2021-07-08,968776.3614405136
2021-07-09,974625.3206965607
2021-07-12,982432.0131380657
2021-07-13,982361.9654565327
2021-07-14,982162.5125956032
2021-07-15,982996.6467589625
2021-07-16,986052.8983074449
2021-07-19,995416.8116350996
2021-07-20,999842.9714860056
2021-07-21,998944.9195791337
2021-07-22,995991.0162425771
2021-07-23,996153.0708820116
2021-07-26,997537.0439217072
2021-07-27,996936.9398470531
2021-07-28,995025.9561086236
2021-07-29,995459.0524653656
2021-07-30,995443.2908604101
2021-08-02,995771.3323299336
2021-08-03,997499.7645553485
2021-08-04,994099.6485936247
2021-08-05,997729.361124743
2021-08-06,1000265.9980759503
2021-08-09,1001363.1932502636
2021-08-10,999943.4789093339
2021-08-11,1001880.9495355693
2021-08-12,1006397.3307781421
2021-08-13,1004920.3094825489
2021-08-16,998987.224753557
2021-08-17,1002113.9001517388
2021-08-18,1006345.4208859934
2021-08-19,1002630.0013375075
2021-08-20,1003127.3813423723
2021-08-23,997830.236779873
2021-08-24,991276.965184046
2021-08-25,985296.686728656
2021-08-26,981616.8453976987
2021-08-27,983160.0589729955
2021-08-30,986910.8685583565
2021-08-31,986894.6664438777
2021-09-01,988170.2575924748
2021-09-02,984601.2220470419
2021-09-03,992642.3395977631
2021-09-06,991113.9861537564
2021-09-07,989884.6096533553
2021-09-08,991747.9840134047
2021-09-09,990839.2950682793
2021-09-10,985233.661545307
2021-09-13,988820.7264932182
2021-09-14,987688.084261774
2021-09-15,983131.2642074286
2021-09-16,979723.6758011476
2021-09-17,986482.4775551179
2021-09-20,987716.0165204061
2021-09-21,982408.5340509773
2021-09-22,982355.3559247246
2021-09-23,984083.9783313707
2021-09-24,984086.7073952212
2021-09-27,982920.2020067166
2021-09-28,980896.1077526599
2021-09-29,975173.4954320971
2021-09-30,975153.5309433701
2021-10-01,978791.5158162736
2021-10-04,973965.8707378306
2021-10-05,971701.6822900322
2021-10-06,970571.4157371119
2021-10-07,965953.4494800708
2021-10-08,968039.0171899954
2021-10-11,969587.1244978147
2021-10-12,975643.2899967856
2021-10-13,974892.2382585275
2021-10-14,977794.5068527076
2021-10-15,985390.439921246
2021-10-18,984613.2715739226
2021-10-19,977920.3644500889
2021-10-20,982679.8592808461
2021-10-21,987275.5688650748
