,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999649.9999999999
2021-01-01,1001619.0085258372
2021-01-04,1004038.6729783909
2021-01-05,1007286.0214953098
2021-01-06,1012978.9581659981
2021-01-07,1006327.8056083804
2021-01-08,1001014.054542569
2021-01-11,996876.1594361077
2021-01-12,1001220.4239643594
2021-01-13,1003161.0590163503
2021-01-14,998761.884828539
2021-01-15,1003014.8063301494
2021-01-18,1003284.5430403573
2021-01-19,1002266.4894288384
2021-01-20,1005945.1705773668
2021-01-21,1006536.745437814
2021-01-22,1004368.9956796187
2021-01-25,1002347.9468639914
2021-01-26,998384.0846829021
2021-01-27,990303.3928304462
2021-01-28,992551.9514256018
2021-01-29,992534.2537096338
2021-02-01,995180.54059296
2021-02-02,991002.8489032844
2021-02-03,993270.0976389293
2021-02-04,986048.5794447769
2021-02-05,984074.4421635839
2021-02-08,987235.9426686196
2021-02-09,984675.2540427772
2021-02-10,984252.8502532796
2021-02-11,983321.183743106
2021-02-12,983013.1538771719
2021-02-15,984710.3289411919
2021-02-16,979828.9618271495
2021-02-17,975228.7780693192
2021-02-18,975900.4592241386
2021-02-19,977900.3439964298
2021-02-22,981027.0998150038
2021-02-23,978980.9324244206
2021-02-24,976016.4664477026
2021-02-25,979432.3742467101
2021-02-26,979416.4116857593
2021-03-01,981405.8742277418
2021-03-02,981808.358355048
2021-03-03,983923.0717138207
2021-03-04,987200.7716539274
2021-03-05,984470.9509345031
2021-03-08,985995.7834212118
2021-03-09,980549.2059959966
2021-03-10,983735.1468476448
2021-03-11,984943.6476088229
2021-03-12,982870.4669272808
2021-03-15,985333.3632719313
2021-03-16,991572.8756036262
2021-03-17,988834.1635149682
2021-03-18,989683.9769003778
2021-03-19,990021.5610951757
2021-03-22,986615.2299737881
2021-03-23,981128.0640451618
2021-03-24,978250.3876161127
2021-03-25,978502.2994931799
2021-03-26,978511.4584405234
2021-03-29,981869.8984046894
2021-03-30,980371.9935102245
2021-03-31,980357.1228871708
2021-04-01,974241.4092947011
2021-04-02,976861.5125493179
2021-04-05,979604.845126394
2021-04-06,981947.4900420981
2021-04-07,983773.7436898135
2021-04-08,980255.6327540444
2021-04-09,983228.0501843939
2021-04-12,984665.6381541452
2021-04-13,986594.3833602987
2021-04-14,992506.4558974148
2021-04-15,991234.4669293333
2021-04-16,992014.4754152929
2021-04-19,992747.1878994381
2021-04-20,991998.7766450164
2021-04-21,993287.7609690897
2021-04-22,992503.6884582291
2021-04-23,994575.062581216
2021-04-26,997093.1809894514
2021-04-27,993244.8840890058
2021-04-28,992142.3509106187
2021-04-29,993065.7970376889
2021-04-30,993050.0101830706
2021-05-03,998248.9734255874
2021-05-04,1001742.7916550139
2021-05-05,998773.7772703674
2021-05-06,999298.9432644104
2021-05-07,1004658.0788483883
2021-05-10,1005827.741769321
2021-05-11,1004657.6789636323
2021-05-12,1002383.3285781151
2021-05-13,998587.9585874164
2021-05-14,995178.0719363304
2021-05-17,994387.8353805167
2021-05-18,990208.1538949382
2021-05-19,987789.2180837909
2021-05-20,983435.615198097
2021-05-21,982316.7827307883
2021-05-24,982640.0778992875
2021-05-25,983667.8932680372
2021-05-26,985913.6240556085
2021-05-27,985868.9760669855
2021-05-28,983010.4723708933
2021-05-31,982994.9389139061
2021-06-01,989074.8828305162
2021-06-02,988799.8893615332
2021-06-03,985459.3976914951
2021-06-04,990235.3602141814
2021-06-07,990085.1019413829
2021-06-08,990317.6579001773
2021-06-09,992897.4475084528
2021-06-10,993780.3773400375
2021-06-11,991889.5429407462
2021-06-14,993976.2523955101
2021-06-15,991757.2465893095
2021-06-16,992126.7972455338
2021-06-17,987761.4943122783
2021-06-18,985912.5330372815
2021-06-21,983887.7458723685
2021-06-22,983100.9262111278
2021-06-23,984254.1172314303
2021-06-24,985758.9564348452
2021-06-25,984028.4161664428
2021-06-28,983822.1576391216
2021-06-29,977932.1288183843
2021-06-30,977917.2546980662
2021-07-01,973570.6711256253
2021-07-02,967495.2615517899
2021-07-05,964367.1270291568
2021-07-06,964462.2515588606
2021-07-07,967227.3079830842
2021-07-08,965330.1762008885
2021-07-09,970946.1674585207
2021-07-12,977361.6731317985
2021-07-13,977323.5621918482
2021-07-14,975818.53503955
2021-07-15,978279.3476008975
2021-07-16,979861.6372671424
2021-07-19,987548.356324389
2021-07-20,991576.3469551262
2021-07-21,990548.4574599455
2021-07-22,988215.3326392916
2021-07-23,989002.6903548826
2021-07-26,990048.4444826639
2021-07-27,990057.7602346546
2021-07-28,988632.1868719453
2021-07-29,988660.6991447709
2021-07-30,988645.9677612821
2021-08-02,988165.224633336
2021-08-03,988593.7103338812
2021-08-04,985086.4566541333
2021-08-05,987899.5588042394
2021-08-06,989064.902468666
2021-08-09,989523.8271929314
2021-08-10,989030.5331408756
2021-08-11,990287.001299309
2021-08-12,995047.5435708258
2021-08-13,993760.8779728006
2021-08-16,989803.4292108568
2021-08-17,992846.5996883266
2021-08-18,997209.6831085865
2021-08-19,992724.3055859732
2021-08-20,993343.5207521823
2021-08-23,989649.0271210009
2021-08-24,983995.3650914383
2021-08-25,978072.4900982776
2021-08-26,974389.8285733463
2021-08-27,975368.6791744144
2021-08-30,979227.790544016
2021-08-31,979212.1485163686
2021-09-01,980749.2563270923
2021-09-02,975945.8414282434
2021-09-03,983204.7730293527
2021-09-06,982237.9225939321
2021-09-07,981416.4182778274
2021-09-08,982025.7941729402
2021-09-09,981507.5243639963
2021-09-10,976261.0339219045
2021-09-13,979668.6404531834
2021-09-14,977889.1634171682
2021-09-15,974525.4262843333
2021-09-16,972320.2781192401
2021-09-17,977746.4897773032
2021-09-20,979008.3152716459
2021-09-21,974812.6642517652
2021-09-22,974312.1222147009
2021-09-23,976331.8806657731
2021-09-24,976810.1284944086
2021-09-27,977419.2431891199
2021-09-28,973683.6955962107
2021-09-29,968382.5767681858
2021-09-30,968363.5167387752
2021-10-01,972739.7421934335
2021-10-04,968184.8429448907
2021-10-05,967384.0499006661
2021-10-06,965981.7873804509
2021-10-07,962587.6448758438
2021-10-08,964621.1530217796
2021-10-11,964814.8047941845
2021-10-12,969729.1253523356
2021-10-13,969143.710182437
2021-10-14,972668.6766949644
2021-10-15,980967.6180649699
2021-10-18,980360.4081945019
2021-10-19,974045.8117883301
2021-10-20,978962.8185635158
2021-10-21,981828.3441322616
2021-10-22,981003.0039305895
