,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999650.0
2021-01-01,994737.687647352
2021-01-04,997524.5789552084
2021-01-05,994153.3987191294
2021-01-06,992928.8781636992
2021-01-07,985702.048757464
2021-01-08,979324.0662493012
2021-01-11,961686.8120628209
2021-01-12,965160.0585086725
2021-01-13,966425.710527293
2021-01-14,962778.1748123873
2021-01-15,971187.997559279
2021-01-18,971595.7341451193
2021-01-19,971087.9542576561
2021-01-20,973474.302132143
2021-01-21,980122.9303523656
2021-01-22,982878.2397708372
2021-01-25,977539.2665831725
2021-01-26,970422.7773429605
2021-01-27,960296.4222346392
2021-01-28,971528.7958265834
2021-01-29,971508.9526239219
2021-02-01,968304.7558603935
2021-02-02,952971.4496249192
2021-02-03,960833.0027989079
2021-02-04,951082.5579115549
2021-02-05,950279.7999277832
2021-02-08,951864.8391271975
2021-02-09,945768.2258696068
2021-02-10,947014.9411522574
2021-02-11,939696.1627946574
2021-02-12,946687.9829014691
2021-02-15,956267.3086008427
2021-02-16,958129.3430385669
2021-02-17,966301.9671871812
2021-02-18,969984.0532896678
2021-02-19,970450.3067122668
2021-02-22,969431.5268710514
2021-02-23,959646.5319772558
2021-02-24,954112.5797823664
2021-02-25,952195.1744736406
2021-02-26,952173.607657717
2021-03-01,948274.0261634316
2021-03-02,939599.9700368484
2021-03-03,941955.8052730166
2021-03-04,946040.218120476
2021-03-05,949505.9499028533
2021-03-08,942354.1422372827
2021-03-09,935920.5016710283
2021-03-10,941944.6974017443
2021-03-11,946101.4710014606
2021-03-12,948364.9949733824
2021-03-15,957917.0401753511
2021-03-16,962954.3256882097
2021-03-17,961536.3790125794
2021-03-18,961507.7774273339
2021-03-19,965291.148081501
2021-03-22,975323.8849202261
2021-03-23,967968.4492178283
2021-03-24,961953.7712956845
2021-03-25,962243.0763954535
2021-03-26,964416.3778861527
2021-03-29,978099.8308206127
2021-03-30,994952.8246097676
2021-03-31,994935.5803694584
2021-04-01,991294.7115945399
2021-04-02,1008370.3302668788
2021-04-05,1006568.1662092236
2021-04-06,1009370.2599420303
2021-04-07,1002753.8044250999
2021-04-08,993496.6889642334
2021-04-09,988469.6962546742
2021-04-12,984650.622421311
2021-04-13,985485.5762925296
2021-04-14,1013085.96771329
2021-04-15,1010951.713911952
2021-04-16,1012326.1611661335
2021-04-19,1009855.8522412998
2021-04-20,1009878.8774622047
2021-04-21,1013111.0533659989
2021-04-22,1011059.6057971148
2021-04-23,1014276.9615874492
2021-04-26,1008803.9787530472
2021-04-27,1002889.4674149207
2021-04-28,999327.9047501873
2021-04-29,1011645.7328431848
2021-04-30,1011621.8796140992
2021-05-03,1022432.8137042318
2021-05-04,1026151.0113557866
2021-05-05,1036913.958359322
2021-05-06,1031560.9580288513
2021-05-07,1043857.7214715469
2021-05-10,1040473.7151661424
2021-05-11,1039144.1933005038
2021-05-12,1037510.1145479537
2021-05-13,1044402.6640268613
2021-05-14,1049523.997933614
2021-05-17,1056111.7067106455
2021-05-18,1054246.8475640677
2021-05-19,1050522.9799000225
2021-05-20,1045293.0949209137
2021-05-21,1042078.7183540213
2021-05-24,1041318.6256358144
2021-05-25,1047505.8551324194
2021-05-26,1046436.3797183933
2021-05-27,1045118.884499791
2021-05-28,1028487.7682116332
2021-05-31,1028459.3645865438
2021-06-01,1035102.488563221
2021-06-02,1034895.7858556171
2021-06-03,1018575.0033511868
2021-06-04,1023600.7859029637
2021-06-07,1023521.3850539129
2021-06-08,1025903.7773585466
2021-06-09,1037402.2679741436
2021-06-10,1038198.4903270117
2021-06-11,1035378.27439281
2021-06-14,1027847.9246489911
2021-06-15,1031972.6071215819
2021-06-16,1032816.8931530672
2021-06-17,1019471.1970805249
2021-06-18,1001285.8518356269
2021-06-21,1002481.6277196053
2021-06-22,1006801.7152905676
2021-06-23,1002388.7799391111
2021-06-24,1016425.3157611666
2021-06-25,1008815.0437810296
2021-06-28,1012731.5552671776
2021-06-29,1016309.1632270422
2021-06-30,1016286.748660399
2021-07-01,1004360.5187135966
2021-07-02,1002668.3725118693
2021-07-05,1002993.6492887536
2021-07-06,1000812.0350847751
2021-07-07,1024480.0330815415
2021-07-08,1031251.7004572536
2021-07-09,1035031.4669037199
2021-07-12,1048146.7791154053
2021-07-13,1051133.1513339682
2021-07-14,1060449.8682157018
2021-07-15,1054500.2978198929
2021-07-16,1063980.9179728043
2021-07-19,1085765.7572084223
2021-07-20,1091879.5373646216
2021-07-21,1090549.2830711694
2021-07-22,1086498.0529866542
2021-07-23,1087347.4339169932
2021-07-26,1082251.155538479
2021-07-27,1076664.9366126594
2021-07-28,1082204.8560208764
2021-07-29,1092643.870685479
2021-07-30,1092630.547440908
2021-08-02,1094266.875662761
2021-08-03,1111852.4905462721
2021-08-04,1112259.084567123
2021-08-05,1108309.7477582633
2021-08-06,1116742.883166382
2021-08-09,1120493.1262917607
2021-08-10,1114931.6989074755
2021-08-11,1128624.415619237
2021-08-12,1127397.2837290138
2021-08-13,1122529.5778413666
2021-08-16,1113267.8885410696
2021-08-17,1116937.2693964886
2021-08-18,1131295.7096934158
2021-08-19,1134352.1430606507
2021-08-20,1127303.1553826993
2021-08-23,1106908.6627577213
2021-08-24,1090874.1333827055
2021-08-25,1080936.2593106774
2021-08-26,1088298.4049073204
2021-08-27,1083875.2673813826
2021-08-30,1090171.180968205
2021-08-31,1090153.9796576381
2021-09-01,1082122.3818557963
2021-09-02,1083284.2401382616
2021-09-03,1101289.5591357085
2021-09-06,1102417.7814574605
2021-09-07,1107542.2307024703
2021-09-08,1129351.012476489
2021-09-09,1121834.8472806069
2021-09-10,1117739.922306039
2021-09-13,1121064.706854335
2021-09-14,1125487.6274815395
2021-09-15,1112798.2514436108
2021-09-16,1110681.711724716
2021-09-17,1129648.576191292
2021-09-20,1135111.4127607914
2021-09-21,1123214.1910387697
2021-09-22,1121568.000373694
2021-09-23,1132483.3055867502
2021-09-24,1127005.3657845622
2021-09-27,1113676.122895846
2021-09-28,1138779.4616145866
2021-09-29,1134158.7037319106
2021-09-30,1134137.244719962
2021-10-01,1135135.1494414052
2021-10-04,1135853.976216098
2021-10-05,1122238.1579775491
2021-10-06,1130058.240909174
2021-10-07,1118191.504837754
2021-10-08,1116636.3378009847
2021-10-11,1123148.5827069737
2021-10-12,1131850.816922782
2021-10-13,1122263.9894592573
2021-10-14,1119898.9554471532
