,ASSET_1,ASSET_2,ASSET_3,ASSET_4,ASSET_5,ASSET_6,ASSET_7,ASSET_8,ASSET_9,ASSET_10,ASSET_11,ASSET_12,ASSET_13,ASSET_14,ASSET_15,CASH
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-31,8.587505648235014e-13,1.4587438165560219e-12,3.526782691826254e-12,2.5316070860961803e-12,2.754339985750276e-12,5.023315952304712e-12,2.2810624519263426e-11,1.2142392087122192e-12,0.0,0.02104082588025982,0.2500875306294283,0.25008753063164263,7.574789096961348e-13,0.2290467047467914,0.25008753061383215,-0.00035012254289023366
2021-01-01,8.686385625266711e-13,1.4889579524845339e-12,3.5790712388861042e-12,2.567039841909652e-12,2.7708252928023504e-12,5.074977437966838e-12,2.331835761868323e-11,1.1976690376090583e-12,0.0,0.020900732400152108,0.2529871882597126,0.25666772878829447,7.536550503044862e-13,0.2202819304856346,0.2495142715773597,-0.00035185155277267613
2021-01-04,8.738603414362767e-13,1.4932165228798842e-12,3.5864857878934928e-12,2.5523697275931395e-12,2.721010737834147e-12,5.095962193669567e-12,2.299990723523475e-11,1.2317691711123814e-12,0.0,0.02066392512675067,0.2499034931187827,0.25567983187822746,7.487955694398328e-13,0.22426176949182838,0.24984184889049388,-0.00035086854738637776
2021-01-05,8.709358616792679e-13,1.5272952263256816e-12,3.601481813020362e-12,2.5843430951941098e-12,2.710914536988202e-12,5.138791748488181e-12,2.3183321543742735e-11,1.2033338952405844e-12,0.0,0.021158813131694834,0.24925842286533986,0.25190620648537243,7.563218606965345e-13,0.22550532263029233,0.2525232931904935,-0.0003520583447696938
2021-01-06,8.737614972818312e-13,1.5373628614682784e-12,3.663201721058003e-12,2.6051301232696507e-12,2.680491501235248e-12,5.236781165620937e-12,2.373452130398397e-11,1.2591226893375346e-12,0.0,0.021274390051555965,0.24126901055676947,0.254699619452589,7.503776088422156e-13,0.23382546900224455,0.2492840034120384,-0.0003524925175381185
2021-01-07,8.662936521133002e-13,1.5415967587880847e-12,3.612279402203752e-12,2.6475896353158924e-12,2.6332435337847015e-12,5.2788948185113395e-12,2.3246762155930294e-11,1.2630993928832102e-12,0.0,0.02156006417018339,0.23975558258016044,0.2565628063183265,7.565251814792712e-13,0.23770199877028342,0.24477462499100058,-0.00035507687180057895
2021-01-08,8.769906829238846e-13,1.5095055976590536e-12,3.612001210804566e-12,2.650658265366254e-12,2.6716119106376e-12,5.31662356578377e-12,2.2962840934809078e-11,1.2540810642403198e-12,0.0,0.021683683259462218,0.2391695268045248,0.25627032923709864,7.711645911918797e-13,0.23712859541283732,0.24610525460315558,-0.0003573893587039905
2021-01-11,9.115633929279436e-13,1.515382190285609e-12,3.605625709324804e-12,2.7243049433090035e-12,2.6990265984900207e-12,5.393876396532079e-12,2.3146018870225596e-11,1.2728849608912031e-12,0.0,0.022366328697300958,0.24707490905255403,0.2548671541688811,7.698667283869079e-13,0.2291210001102444,0.24693455177806986,-0.0003639438490889473
2021-01-12,9.166741098404686e-13,1.5181736408738767e-12,3.584972871781231e-12,2.71457605135801e-12,2.6676449944852872e-12,5.390406119086111e-12,2.330965459316163e-11,1.2397595962864433e-12,0.0,0.022618528340909706,0.24464905535086706,0.2570820542453696,8.0539822290639e-13,0.22799180135321384,0.2480211948201541,-0.0003626341526617133
2021-01-13,9.092707569268837e-13,1.519311407504808e-12,3.598986900838349e-12,2.717850187828623e-12,2.6319781847191695e-12,5.3994239679430176e-12,2.374718420816775e-11,1.246500380828549e-12,0.0,0.022516040455417084,0.24741430907249937,0.25808620258791787,7.913546234068386e-13,0.22914394136695687,0.243201665713777,-0.0003621592391299876
2021-01-14,9.074384893569062e-13,1.5283364207190987e-12,3.6251397255668238e-12,2.691694189468233e-12,2.6766027433705793e-12,5.461479862951522e-12,2.361917380798673e-11,1.2244511609633979e-12,0.0,0.022455133063436654,0.2489264766162302,0.25760886165195007,7.66797404471675e-13,0.22851467189178717,0.24285838803253582,-0.00036353129844101956
2021-01-15,9.051454517956844e-13,1.504735973299191e-12,3.659812681498134e-12,2.6106138929351584e-12,2.6965194206773258e-12,5.400454187610424e-12,2.3694963093876136e-11,1.2157028976756835e-12,0.0,0.022136923928759746,0.242498322433674,0.26162953703889386,7.590530699275683e-13,0.22757895710831005,0.24651664281434885,-0.00036038336643349936
2021-01-18,8.96122694393808e-13,1.5135134807779998e-12,3.6359058594669008e-12,2.6063006542451352e-12,2.6985950457425525e-12,5.2961707326529095e-12,2.344473882366572e-11,1.2389454645492241e-12,0.0,0.02211615258353937,0.24346797082246593,0.2603547579206927,7.772054268386192e-13,0.22678185010337568,0.2476395006569854,-0.00036023212916653813
2021-01-19,9.06478327514826e-13,1.5027304722502784e-12,3.699971525754312e-12,2.5626110187286635e-12,2.7543034811851147e-12,5.2754182051230106e-12,2.3388793419584636e-11,1.2068785168658215e-12,0.0,0.02178057823577504,0.2413149633127674,0.26002026780394843,7.911004453376613e-13,0.227887475461099,0.24935713563812545,-0.0003604204938035485
2021-01-20,8.950750519727492e-13,1.4860199450603994e-12,3.763536638455195e-12,2.535489418913728e-12,2.8036919150351483e-12,5.247873157461755e-12,2.33407765479319e-11,1.2226624250299735e-12,0.0,0.021699664353028676,0.23932550874276928,0.259270453938492,7.942663623967291e-13,0.2311500944421059,0.24891381545052738,-0.0003595369690125747
2021-01-21,8.943785581102918e-13,1.5007554267081744e-12,3.754352600712558e-12,2.5280089236953985e-12,2.7341557468580273e-12,5.038206291416285e-12,2.331252333778695e-11,1.2132183112574564e-12,0.0,0.021643717871783718,0.2375840126334803,0.26254340549445665,7.904954121631572e-13,0.22658731161048548,0.25199865041109865,-0.0003570980630709181
2021-01-22,8.902184503749844e-13,1.5048653265630478e-12,3.7254815597857806e-12,2.502840532292834e-12,2.730129133089652e-12,5.0266180455957054e-12,2.340631054652183e-11,1.2056907581165283e-12,0.0,0.02144783327528416,0.2400785985344599,0.260627306869089,7.852957153100054e-13,0.23014170293536484,0.248060655351607,-0.0003560970075823698
2021-01-25,8.822095123585762e-13,1.5109668367947796e-12,3.7271989962577185e-12,2.4893238290204842e-12,2.7400472969681616e-12,5.087646373949957e-12,2.353986860221859e-11,1.2180315456843708e-12,0.0,0.021459970019637554,0.24259452299486922,0.25993287613407323,7.782828685206508e-13,0.22906336936201369,0.24730730333072576,-0.0003580418832929233
2021-01-26,8.918740247909513e-13,1.558590051037658e-12,3.726457713514964e-12,2.496302732645948e-12,2.7588850457822817e-12,5.152711702371389e-12,2.3805592861736523e-11,1.2497819050684731e-12,0.0,0.020826147641957175,0.24252839343091212,0.2668206595431314,7.628727639802859e-13,0.21822719641755126,0.25195827046830716,-0.00036066754426202776
2021-01-27,9.035327431022311e-13,1.557998515486957e-12,3.7266357129856155e-12,2.4952726853455706e-12,2.7925907536745083e-12,5.16699666782887e-12,2.422592726838523e-11,1.2123620014843149e-12,0.0,0.020687417428727345,0.24418628261873068,0.2673239305304223,7.821259484083243e-13,0.21318121066327428,0.2549856295105163,-0.0003644707945342141
2021-01-28,8.979754395051561e-13,1.5692816335659953e-12,3.665325752194705e-12,2.476304610599482e-12,2.7006730162305185e-12,4.952335558705257e-12,2.422772525178964e-11,1.1987263165478964e-12,0.0,0.02002155450021541,0.24351208423710463,0.2727002220740049,7.791935754710964e-13,0.21189801880238845,0.25222837729297354,-0.0003602569491544918
