,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999650.0
2021-01-01,994076.1259403308
2021-01-04,997462.0782145793
2021-01-05,993712.6827461495
2021-01-06,993132.851113569
2021-01-07,985973.9640553943
2021-01-08,979421.5737394982
2021-01-11,960418.6569749888
2021-01-12,963543.7931604079
2021-01-13,965008.6577560345
2021-01-14,961369.455992158
2021-01-15,969992.5339415271
2021-01-18,970348.8055439816
2021-01-19,970266.1786859402
2021-01-20,973021.0372905033
2021-01-21,979310.5865976451
2021-01-22,982577.0681758123
2021-01-25,977131.0332037108
2021-01-26,969666.5948772221
2021-01-27,959236.219377855
2021-01-28,970988.5757861623
2021-01-29,970968.6367141847
2021-02-01,967660.2667251771
2021-02-02,951640.4758645144
2021-02-03,960301.5920457998
2021-02-04,951075.6795882231
2021-02-05,950463.8118152451
2021-02-08,952252.7151620365
2021-02-09,946006.2214608162
2021-02-10,947494.9119185256
2021-02-11,939986.2042062428
2021-02-12,946585.0095498898
2021-02-15,956409.1767500902
2021-02-16,959348.829883615
2021-02-17,967556.6193548444
2021-02-18,970897.722828774
2021-02-19,971591.1379555778
2021-02-22,970467.3959024529
2021-02-23,959552.6306023531
2021-02-24,953687.1097815653
2021-02-25,951375.0877896093
2021-02-26,951353.8004104542
2021-03-01,947288.4488389005
2021-03-02,938408.4819262855
2021-03-03,940658.4176415604
2021-03-04,944800.8193249499
2021-03-05,948241.9281804713
2021-03-08,941268.2848709836
2021-03-09,934041.8889065713
2021-03-10,940152.0903199392
2021-03-11,944351.6449394118
2021-03-12,946961.363391434
2021-03-15,956671.2257770317
2021-03-16,961557.260435462
2021-03-17,959543.2060992136
2021-03-18,959337.5954181621
2021-03-19,963812.9007917695
2021-03-22,974502.3078526572
2021-03-23,966464.8872106005
2021-03-24,960307.0753740525
2021-03-25,960931.8834027406
2021-03-26,963254.233196947
2021-03-29,976618.4954601793
2021-03-30,993699.4061996287
2021-03-31,993681.9992534989
2021-04-01,989710.0112550114
2021-04-02,1007694.4675252687
2021-04-05,1006378.8197465177
2021-04-06,1008466.8101065495
2021-04-07,1001817.1381275813
2021-04-08,993217.8118766629
2021-04-09,987649.1228476448
2021-04-12,983294.2911018204
2021-04-13,983357.7852693107
2021-04-14,1011307.9671681657
2021-04-15,1009135.3503187567
2021-04-16,1010244.4773740976
2021-04-19,1006836.733012162
2021-04-20,1006604.0447373942
2021-04-21,1009265.0901347162
2021-04-22,1007026.0408470519
2021-04-23,1010326.5157008199
2021-04-26,1005105.2484380394
2021-04-27,999229.1744754937
2021-04-28,994974.8534980582
2021-04-29,1007227.1418568427
2021-04-30,1007203.5505762406
2021-05-03,1017555.4303912611
2021-05-04,1021250.0433387294
2021-05-05,1031445.3473754352
2021-05-06,1025955.7333771109
2021-05-07,1037527.496767826
2021-05-10,1033960.7130059303
2021-05-11,1032527.7247721736
2021-05-12,1031044.5412347467
2021-05-13,1038334.016964865
2021-05-14,1043313.4415550936
2021-05-17,1050711.56675016
2021-05-18,1048602.503897636
2021-05-19,1044849.6068170107
2021-05-20,1039408.0174812782
2021-05-21,1036024.018656661
2021-05-24,1034541.0359759004
2021-05-25,1040473.4630468154
2021-05-26,1039985.6474999
2021-05-27,1037632.707089689
2021-05-28,1020221.6985830109
2021-05-31,1020192.9787797761
2021-06-01,1026714.4323593382
2021-06-02,1026544.5692952443
2021-06-03,1010155.9822037735
2021-06-04,1014781.3499747313
2021-06-07,1014910.4573109634
2021-06-08,1017515.9055337476
2021-06-09,1029055.8616322165
2021-06-10,1029977.7317331501
2021-06-11,1026651.8931261392
2021-06-14,1019372.0052995727
2021-06-15,1022849.0806602704
2021-06-16,1023187.9415898682
2021-06-17,1010164.2697969696
2021-06-18,991513.3657235096
2021-06-21,992571.0808443469
2021-06-22,997113.04793987
2021-06-23,992128.7061016179
2021-06-24,1006938.7479759414
2021-06-25,999751.2708404986
2021-06-28,1003493.0337296661
2021-06-29,1006458.0545980283
2021-06-30,1006435.3770590229
2021-07-01,993894.1129509708
2021-07-02,991759.9199290073
2021-07-05,993000.2210473438
2021-07-06,991234.9756728624
2021-07-07,1014610.0619517443
2021-07-08,1022131.7130228367
2021-07-09,1025567.7725642346
2021-07-12,1038554.4666962564
2021-07-13,1041414.4527729694
2021-07-14,1051372.1218390197
2021-07-15,1044774.3444980566
2021-07-16,1053750.9359951315
2021-07-19,1076263.0099942666
2021-07-20,1082678.3527357066
2021-07-21,1081507.5196211827
2021-07-22,1077888.7456320664
2021-07-23,1079037.5559606054
2021-07-26,1074492.7292086855
2021-07-27,1068135.6207900979
2021-07-28,1073495.1674446932
2021-07-29,1084378.0459240614
2021-07-30,1084365.1574631582
2021-08-02,1086376.8397575512
2021-08-03,1104136.5014499372
2021-08-04,1104296.873540904
2021-08-05,1100151.6352720663
2021-08-06,1109152.6399559223
2021-08-09,1113300.1026523001
2021-08-10,1108056.0507248752
2021-08-11,1121906.157947753
2021-08-12,1121484.5717902256
2021-08-13,1116598.0155172332
2021-08-16,1107230.9433392186
2021-08-17,1111580.7251008146
2021-08-18,1126066.5693560315
2021-08-19,1129819.241329265
2021-08-20,1122934.721483315
2021-08-23,1102230.0711833218
2021-08-24,1085037.326946763
2021-08-25,1075398.4827216156
2021-08-26,1083214.4521302145
2021-08-27,1078690.388317533
2021-08-30,1084043.4860381274
2021-08-31,1084026.5459862014
2021-09-01,1076070.716282613
2021-09-02,1076716.9645617502
2021-09-03,1094719.8866349044
2021-09-06,1095848.1637385185
2021-09-07,1100878.2541120695
2021-09-08,1123343.2758905592
2021-09-09,1115855.1617213415
2021-09-10,1111534.527031391
2021-09-13,1114980.620873593
2021-09-14,1119198.2058145418
2021-09-15,1105889.17097284
2021-09-16,1103530.0096311783
2021-09-17,1123684.755042279
2021-09-20,1128289.3247379719
2021-09-21,1116598.950926795
2021-09-22,1115537.2077101357
2021-09-23,1127067.7171842912
2021-09-24,1121166.0185077647
2021-09-27,1108047.4543474545
2021-09-28,1133400.2540107043
2021-09-29,1128461.1959451681
2021-09-30,1128440.0917378387
2021-10-01,1129212.1623388336
2021-10-04,1130448.6880263465
2021-10-05,1117140.722793717
2021-10-06,1125738.272530789
2021-10-07,1114618.2111178592
2021-10-08,1113935.8437589344
2021-10-11,1121936.7593040816
2021-10-12,1130871.4459417465
2021-10-13,1121744.325916529
2021-10-14,1119155.0311384916
