,ASSET_1,ASSET_2,ASSET_3,ASSET_4,ASSET_5,ASSET_6,ASSET_7,ASSET_8,ASSET_9,ASSET_10,ASSET_11,ASSET_12,ASSET_13,ASSET_14,ASSET_15,CASH
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-31,1.6481764172918328e-12,3.0278025510263154e-12,7.775699622941719e-12,5.5602892647614455e-12,6.0243067550740724e-12,1.0616689213790789e-11,3.8894921176588654e-11,2.524873461796757e-12,0.0,1.7177043512281313e-10,0.2500875306201494,0.2500875306258675,1.5249830730371238e-12,0.25008753044746834,0.2500875306000365,-0.0003501225428900115
2021-01-01,1.6682636781052258e-12,3.0925724641918592e-12,7.896234656302075e-12,5.6418641010147045e-12,6.0643967010495246e-12,1.073301296126106e-11,3.978712946379659e-11,2.4920750432793986e-12,0.0,1.7074031047688263e-10,0.253155552253591,0.25683854220033364,1.5182945045447805e-12,0.24067766668118054,0.2496803243266732,-0.0003520857114126174
2021-01-04,1.6772812887939896e-12,3.0995491058973942e-12,7.907825926864657e-12,5.606242507377842e-12,5.951781764417395e-12,1.0770900616898919e-11,3.9220128864734604e-11,2.5614855331620303e-12,0.0,1.687041106828895e-10,0.2499191520039651,0.25569585271081424,1.5075959279733765e-12,0.2448783816623879,0.24985750390855313,-0.0003508905327273065
2021-01-05,1.6723046692319047e-12,3.1714953982370912e-12,7.943914649602748e-12,5.678633256728734e-12,5.931956069978329e-12,1.0865562050507655e-11,3.954794737013252e-11,2.503306828095888e-12,0.0,1.7281025267039118e-10,0.2493689700698486,0.25201792799706835,1.5233289651015823e-12,0.24633002779088,0.2526352883747579,-0.0003522144842035893
2021-01-06,1.6766420633502702e-12,3.190330691498465e-12,8.074811690807437e-12,5.720596257833092e-12,5.861580846906276e-12,1.1065571007018598e-11,4.046196693939019e-11,2.6176658612386676e-12,0.0,1.7364150638592524e-10,0.24121945791068722,0.2546473083861569,1.5103762155744059e-12,0.2552528489556877,0.24923280461509162,-0.00035242012144453373
2021-01-07,1.6621951255850105e-12,3.198891597813467e-12,7.962002718632266e-12,5.813423575485442e-12,5.757855605637972e-12,1.1153773742000306e-11,3.962765783791224e-11,2.6257483653943915e-12,0.0,1.7596078659247926e-10,0.23968946195039453,0.2564920505374428,1.5226429584232565e-12,0.2594663460165396,0.244707120187815,-0.00035497894747688914
2021-01-08,1.6830166045069421e-12,3.1328529570468203e-12,7.962792944076056e-12,5.821187449129121e-12,5.842781735467044e-12,1.12354709830663e-11,3.9150570822006244e-11,2.607460491286898e-12,0.0,1.7700088965853118e-10,0.23914571598637874,0.256244815930999,1.552381001847986e-12,0.25888606831940697,0.24608075328560317,-0.0003573537783772479
2021-01-11,1.7518487545939337e-12,3.149515671723067e-12,7.96002604540992e-12,5.991421504653748e-12,5.911119889320136e-12,1.1414914738621159e-11,3.9518922535651644e-11,2.6503156003468345e-12,0.0,1.8283250467211276e-10,0.2474011514593411,0.25520368560782525,1.5519692109370332e-12,0.25049897822760236,0.2472606088499779,-0.0003644244074791174
2021-01-12,1.7622986498279518e-12,3.1564422803184235e-12,7.917253142972394e-12,5.972153741051282e-12,5.84447422575717e-12,1.1411637800616023e-11,3.981249920194478e-11,2.582264511315572e-12,0.0,1.8496001871728062e-10,0.2450594339809773,0.25751328821019526,1.6241757715890236e-12,0.2493532900535105,0.24843722993185696,-0.00036324244158327846
2021-01-13,1.7477010599085382e-12,3.158148786935286e-12,7.946544250490364e-12,5.978109458085929e-12,5.765129693659015e-12,1.1428344014207672e-11,4.0551330362270926e-11,2.5957630510130967e-12,0.0,1.840835238153129e-10,0.24777762096678219,0.2584651854705083,1.595522332356397e-12,0.25056109273476546,0.24355879160963212,-0.00036269104653824163
2021-01-14,1.7441738583277824e-12,3.1768989552838586e-12,8.004264692515875e-12,5.920559047493181e-12,5.862857876649621e-12,1.1559654739575863e-11,4.0332611102892944e-11,2.549838940663004e-12,0.0,1.8358499545467652e-10,0.2492912348279509,0.2579863423839181,1.5460054790996085e-12,0.2498722319964213,0.24321425451741463,-0.00036406398998685787
2021-01-15,1.7393618832359004e-12,3.127114195945021e-12,8.078943060419044e-12,5.7408822983756925e-12,5.9051100862984124e-12,1.1427831038712031e-11,4.0452621556834666e-11,2.5310325596452675e-12,0.0,1.8094134782295957e-10,0.2427971885619721,0.2619519813629968,1.5300355929669555e-12,0.24879119603135713,0.24682046130174543,-0.0003608275195457315
2021-01-18,1.7221138511967042e-12,3.1455206433161796e-12,8.026590898588765e-12,5.7316982664749745e-12,5.909965876683302e-12,1.1207746776904566e-11,4.002753470280214e-11,2.579557892309043e-12,0.0,1.80781062545055e-10,0.24378083478001214,0.2606893219314869,1.5667078731892054e-12,0.24793281291016994,0.2479577251563653,-0.00036069503873278696
2021-01-19,1.7412525251218853e-12,3.121744026778308e-12,8.164448056128461e-12,5.633151689698382e-12,6.029329184675024e-12,1.1158946026582892e-11,3.991454765643051e-11,2.511693234145276e-12,0.0,1.7796012927567587e-10,0.24151934715876927,0.2602404942769467,1.5940200532234085e-12,0.24903255319288453,0.2495683308687171,-0.0003607257551469177
2021-01-20,1.7186932601079697e-12,3.0858543389354527e-12,8.301549928787033e-12,5.57141035299813e-12,6.135106152977653e-12,1.1096453568144967e-11,3.981743522943813e-11,2.543572917228593e-12,0.0,1.7723149913547084e-10,0.23943699433868057,0.25939123054137536,1.5997897484565483e-12,0.2525017117292076,0.24902976758665968,-0.00035970445302459036
2021-01-21,1.7179801413661004e-12,3.117586737681666e-12,8.28430220459933e-12,5.5569921856827744e-12,5.985120259490533e-12,1.065699239112979e-11,3.97836938611717e-11,2.5248432568276496e-12,0.0,1.7683881580278165e-10,0.2377810899273294,0.2627611867507538,1.5927731717099284e-12,0.2476074326191602,0.252207684724662,-0.0003573942779644425
2021-01-22,1.7090955650338884e-12,3.124490828824817e-12,8.216300010099665e-12,5.4987928411887605e-12,5.973182942935682e-12,1.0626924410461151e-11,3.9922872226887325e-11,2.507866378521165e-12,0.0,1.7514677878312068e-10,0.24015218548050085,0.26070719224230166,1.581469431148852e-12,0.25136013928993073,0.24813668888852275,-0.0003562061555637431
2021-01-25,1.693907930639657e-12,3.137508129991625e-12,8.221002117925474e-12,5.469704753950733e-12,5.995549532872439e-12,1.0757142745178552e-11,4.015514137659062e-11,2.5338173545106945e-12,0.0,1.7526538422723619e-10,0.2426958760066937,0.26004147290050883,1.567520949203136e-12,0.2502102170269903,0.2474106252798173,-0.0003581914688068581
2021-01-26,1.713084252470937e-12,3.2375685249311064e-12,8.222341664441972e-12,5.487024284667856e-12,6.038953467279518e-12,1.0898657397639908e-11,4.0623119360750644e-11,2.6008071161900802e-12,0.0,1.701504583811197e-10,0.24271752618106843,0.2670287363185199,1.537039876875637e-12,0.23845992907008134,0.25215475698619355,-0.0003609488063722733
2021-01-27,1.7360422794511722e-12,3.237392110658682e-12,8.225408171010807e-12,5.4865436368046414e-12,6.114719911308156e-12,1.0932425662227163e-11,4.135384266295514e-11,2.5237563417045054e-12,0.0,1.6907198561204308e-10,0.24445617128691247,0.2676193922563056,1.5763436965685136e-12,0.23302185560414068,0.25526745423093183,-0.0003648736285489765
