,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999650.0000000001
2021-01-01,996251.1676487202
2021-01-04,997489.541816393
2021-01-05,995128.0540467451
2021-01-06,992714.1704426211
2021-01-07,985686.1890831875
2021-01-08,979675.2130645098
2021-01-11,965490.740158796
2021-01-12,969855.8790529623
2021-01-13,970903.0855022565
2021-01-14,967206.572066212
2021-01-15,974779.9371894157
2021-01-18,975213.8450773841
2021-01-19,973455.7335867924
2021-01-20,974975.1244254241
2021-01-21,982251.4957672149
2021-01-22,983949.5926968809
2021-01-25,978911.9723326248
2021-01-26,972024.9898593791
2021-01-27,962399.2862054094
2021-01-28,972225.1847966269
2021-01-29,972205.3517062734
2021-02-01,969508.9905940992
2021-02-02,956426.9487081007
2021-02-03,962125.7386663157
2021-02-04,951322.6270269183
2021-02-05,950043.6601352257
2021-02-08,950963.7358792095
2021-02-09,945236.2284127063
2021-02-10,946186.7650516835
2021-02-11,939643.5424814334
2021-02-12,947426.4917477771
2021-02-15,956239.3119114987
2021-02-16,955452.5043287562
2021-02-17,963272.2760404621
2021-02-18,967669.5127700422
2021-02-19,967463.6899624894
2021-02-22,966862.7659174703
2021-02-23,960086.7548849122
2021-02-24,955360.9320637888
2021-02-25,954713.2204564101
2021-02-26,954690.9783305017
2021-03-01,951014.3825110474
2021-03-02,943017.2712520364
2021-03-03,945823.245710546
2021-03-04,950256.8749207606
2021-03-05,953762.2537337022
2021-03-08,946412.8477096434
2021-03-09,941965.0676169966
2021-03-10,947475.8461627512
2021-03-11,951581.0192927221
2021-03-12,952987.9947081149
2021-03-15,962258.9806872916
2021-03-16,967741.6157988411
2021-03-17,967577.0232633566
2021-03-18,968102.584721051
2021-03-19,969944.2282782187
2021-03-22,977242.3308371279
2021-03-23,971224.5550932985
2021-03-24,965364.1067047745
2021-03-25,965136.4779963192
2021-03-26,966549.0790548841
2021-03-29,981268.1394041417
2021-03-30,997679.3945404829
2021-03-31,997662.2871281026
2021-04-01,994678.8411161507
2021-04-02,1009126.2361119613
2021-04-05,1006288.3377828576
2021-04-06,1010920.7026825907
2021-04-07,1004641.513364484
2021-04-08,994183.4447665891
2021-04-09,990993.3926656607
2021-04-12,988565.9018534317
2021-04-13,990624.6645615938
2021-04-14,1017483.3043130867
2021-04-15,1015665.1360088674
2021-04-16,1017743.146519476
2021-04-19,1017469.2102197338
2021-04-20,1018019.4808844714
2021-04-21,1022587.9597871468
2021-04-22,1021067.2565526129
2021-04-23,1023730.8227757975
2021-04-26,1017786.2104245515
2021-04-27,1011402.9974027142
2021-04-28,1009163.5497411912
2021-04-29,1021181.6610911649
2021-04-30,1021157.4074576343
2021-05-03,1033108.3133304133
2021-05-04,1036923.208566315
2021-05-05,1049049.7870738665
2021-05-06,1043983.4894741356
2021-05-07,1057733.980557629
2021-05-10,1054990.0211965814
2021-05-11,1053910.0298363636
2021-05-12,1051550.3536601283
2021-05-13,1057665.1160321096
2021-05-14,1062632.6784405408
2021-05-17,1067048.5701142878
2021-05-18,1065387.8261308996
2021-05-19,1062110.4761635296
2021-05-20,1057821.0709535256
2021-05-21,1054775.2303827375
2021-05-24,1055941.5202850073
2021-05-25,1062794.1130262145
2021-05-26,1060023.4064151992
2021-05-27,1061544.8286838813
2021-05-28,1047405.6303578316
2021-05-31,1047378.2202991289
2021-06-01,1053921.2811787121
2021-06-02,1053765.0722303186
2021-06-03,1037402.9098755616
2021-06-04,1043323.7323262676
2021-06-07,1042818.5080536549
2021-06-08,1044150.6838446968
2021-06-09,1055348.3573964322
2021-06-10,1056266.0206175186
2021-06-11,1054125.3646337201
2021-06-14,1046083.8764509493
2021-06-15,1051823.4785362487
2021-06-16,1054135.0172230522
2021-06-17,1040009.5163270712
2021-06-18,1023493.3895868703
2021-06-21,1024687.6012177708
2021-06-22,1028081.8844707911
2021-06-23,1024937.0283986964
2021-06-24,1036755.0404235409
2021-06-25,1027803.3548388234
2021-06-28,1032320.1794779628
2021-06-29,1037606.686981795
2021-06-30,1037585.5088914542
2021-07-01,1027290.5940520491
2021-07-02,1026434.0177492572
2021-07-05,1024600.4911073458
2021-07-06,1021721.2971883683
2021-07-07,1045743.4599554071
2021-07-08,1050286.2183722714
2021-07-09,1055338.9584616646
2021-07-12,1068439.0185816553
2021-07-13,1072214.2980441127
2021-07-14,1079696.193530991
2021-07-15,1075398.0913789903
2021-07-16,1086198.334735058
2021-07-19,1106153.808974099
2021-07-20,1110950.1952856102
2021-07-21,1109245.9086871382
2021-07-22,1104262.744093034
2021-07-23,1104422.039052675
2021-07-26,1098011.2584009273
2021-07-27,1094291.1352771455
2021-07-28,1099510.7743375709
2021-07-29,1108694.9816043628
2021-07-30,1108680.874211957
2021-08-02,1109353.8519717196
2021-08-03,1126599.3680854032
2021-08-04,1127420.749931557
2021-08-05,1124268.4682084941
2021-08-06,1131103.5735523447
2021-08-09,1134120.0904871083
2021-08-10,1127800.8681440547
2021-08-11,1140750.9700915145
2021-08-12,1137508.796072901
2021-08-13,1132700.5075688108
2021-08-16,1123703.3367396647
2021-08-17,1125725.1960190784
2021-08-18,1139567.1000578345
2021-08-19,1140562.0620311098
2021-08-20,1133277.6999423523
2021-08-23,1113517.5408093
2021-08-24,1100286.94403707
2021-08-25,1090014.7467560626
2021-08-26,1095849.5420309955
2021-08-27,1092202.881897248
2021-08-30,1100452.157312117
2021-08-31,1100434.5623786733
2021-09-01,1092421.3710698697
2021-09-02,1094920.9594081372
2021-09-03,1112542.1219634314
2021-09-06,1112836.3647485476
2021-09-07,1117258.4053070052
2021-09-08,1137241.2466938742
2021-09-09,1129430.7832313837
2021-09-10,1126178.5033238984
2021-09-13,1129002.9949827704
2021-09-14,1133690.9416827604
2021-09-15,1122712.2796139373
2021-09-16,1121114.9594272124
2021-09-17,1136661.8414440507
2021-09-20,1144201.1879651775
2021-09-21,1131722.8720862053
2021-09-22,1129427.4425473248
2021-09-23,1138719.8830456748
2021-09-24,1134455.8861789845
2021-09-27,1120890.5943807734
2021-09-28,1144944.6931740572
2021-09-29,1141201.2798073937
2021-09-30,1141178.0086431904
2021-10-01,1143134.8616430876
2021-10-04,1142278.4529412836
2021-10-05,1128416.2370970692
2021-10-06,1133875.1995034835
2021-10-07,1120228.6905540114
2021-10-08,1116960.989077234
2021-10-11,1119814.1128480146
2021-10-12,1127693.9417021973
2021-10-13,1116918.5086981128
