,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999649.9999999999
2021-01-01,1002355.7836774148
2021-01-04,1001363.1227517119
2021-01-05,1002986.093741638
2021-01-06,1007401.0651271098
2021-01-07,998428.9548836013
2021-01-08,991663.0514071011
2021-01-11,982341.1486854177
2021-01-12,986276.5251906747
2021-01-13,989520.7341023203
2021-01-14,987395.3957376434
2021-01-15,992447.2051700774
2021-01-18,989457.2692167121
2021-01-19,987912.5677772287
2021-01-20,990435.6697456957
2021-01-21,992095.0590809088
2021-01-22,992898.8405611678
2021-01-25,989736.337120109
2021-01-26,985303.6899067325
2021-01-27,977543.7358532641
2021-01-28,979359.4551890831
2021-01-29,979340.9215392113
2021-02-01,982897.9562228783
2021-02-02,979515.8742648656
2021-02-03,980598.2394569544
2021-02-04,970311.384649107
2021-02-05,967354.4440410885
2021-02-08,967948.827498503
2021-02-09,964836.9750914031
2021-02-10,966262.4584538679
2021-02-11,960854.5629647708
2021-02-12,963108.6110371858
2021-02-15,969118.8436489091
2021-02-16,965511.0074173973
2021-02-17,963143.566009547
2021-02-18,964042.6605913334
2021-02-19,964730.4117508066
2021-02-22,968012.4567269437
2021-02-23,965903.413275204
2021-02-24,962992.0417168377
2021-02-25,964876.1609241327
2021-02-26,964858.6964079298
2021-03-01,965548.5419107405
2021-03-02,962814.0916077126
2021-03-03,965340.8884014041
2021-03-04,968400.4859822297
2021-03-05,968062.5943754292
2021-03-08,965669.2216262002
2021-03-09,961720.0757804322
2021-03-10,967095.997986682
2021-03-11,969381.8339228476
2021-03-12,969674.8623088999
2021-03-15,973334.3813197894
2021-03-16,980655.1683739854
2021-03-17,980042.9949681092
2021-03-18,982221.54931071
2021-03-19,981966.1328686317
2021-03-22,981716.5765054926
2021-03-23,976012.4778698834
2021-03-24,967856.9984239849
2021-03-25,967465.9798785611
2021-03-26,965919.3798764276
2021-03-29,973911.3471796326
2021-03-30,979243.4378052042
2021-03-31,979228.5438081035
2021-04-01,973885.630907289
2021-04-02,978832.9878609185
2021-04-05,978072.0555167533
2021-04-06,983538.2088850784
2021-04-07,981491.3096241992
2021-04-08,978706.0764467504
2021-04-09,981956.0870791649
2021-04-12,984053.5339300635
2021-04-13,981934.5415403179
2021-04-14,996383.6023510788
2021-04-15,993643.0856580805
2021-04-16,996410.5656808448
2021-04-19,997625.5287892156
2021-04-20,995110.9862587852
2021-04-21,997745.5642741964
2021-04-22,995154.9264369059
2021-04-23,996350.1875423323
2021-04-26,994930.7603539428
2021-04-27,990617.6655714057
2021-04-28,986954.0500136407
2021-04-29,992654.3053861985
2021-04-30,992634.3375569314
2021-05-03,999174.1300360118
2021-05-04,1001878.8952129993
2021-05-05,1005534.093307248
2021-05-06,1007432.1304765319
2021-05-07,1016863.6807326885
2021-05-10,1016931.2823614476
2021-05-11,1013839.1744827515
2021-05-12,1009764.4321333492
2021-05-13,1012308.8579338465
2021-05-14,1011201.4213484585
2021-05-17,1015020.0753410078
2021-05-18,1009462.2648101912
2021-05-19,1006888.7487941304
2021-05-20,1001018.161055645
2021-05-21,998631.0899443061
2021-05-24,1000996.1403334761
2021-05-25,1005145.9310398679
2021-05-26,1005066.6740691841
2021-05-27,1007983.1444394744
2021-05-28,1001008.5373119396
2021-05-31,1000988.0921843254
2021-06-01,1006899.8868400123
2021-06-02,1006210.4244015703
2021-06-03,997279.1050123065
2021-06-04,1002429.6853271491
2021-06-07,1002381.5713888004
2021-06-08,1000418.8763683626
2021-06-09,1006762.8133393928
2021-06-10,1003724.1995052061
2021-06-11,1001419.3736964547
2021-06-14,997854.6241095191
2021-06-15,998992.1909549
2021-06-16,1000339.9742712141
2021-06-17,993786.0464511939
2021-06-18,988298.3529419024
2021-06-21,986108.7399265707
2021-06-22,985386.8567419942
2021-06-23,982298.5567866426
2021-06-24,990056.6591840178
2021-06-25,987274.2442963704
2021-06-28,988115.0410191937
2021-06-29,990015.4188630407
2021-06-30,989997.4134755466
2021-07-01,984112.3957012293
2021-07-02,983856.8238262272
2021-07-05,979766.5384151845
2021-07-06,979607.2684461322
2021-07-07,991292.0337477
2021-07-08,991726.0578627691
2021-07-09,999456.2567168288
2021-07-12,1007039.2597063463
2021-07-13,1011041.5313259425
2021-07-14,1012239.7947772447
2021-07-15,1013433.3078362948
2021-07-16,1019964.062935195
2021-07-19,1032903.652248146
2021-07-20,1033955.8247076035
2021-07-21,1034010.3765931827
2021-07-22,1029908.2422432645
2021-07-23,1029219.6834060742
2021-07-26,1026327.9869832265
2021-07-27,1025347.766515021
2021-07-28,1025358.076265793
2021-07-29,1029166.2239490368
2021-07-30,1029154.6503210516
2021-08-02,1025233.2050625097
2021-08-03,1030556.5596382811
2021-08-04,1030693.4071905089
2021-08-05,1032960.4846207587
2021-08-06,1036378.4951150018
2021-08-09,1038757.859375342
2021-08-10,1037980.5293335638
2021-08-11,1043597.9538161515
2021-08-12,1043523.4160045511
2021-08-13,1041024.544334122
2021-08-16,1037815.7598494028
2021-08-17,1041265.4989211578
2021-08-18,1049448.199529748
2021-08-19,1046782.1260488997
2021-08-20,1044108.1942786223
2021-08-23,1034855.1397368772
2021-08-24,1026618.9049898711
2021-08-25,1017126.8608931393
2021-08-26,1017028.456976996
2021-08-27,1018254.6038122104
2021-08-30,1024463.3047114849
2021-08-31,1024446.0277034465
2021-09-01,1021421.1277497979
2021-09-02,1017785.9051211404
2021-09-03,1029974.952427834
2021-09-06,1030067.4744855225
2021-09-07,1028357.1862152973
2021-09-08,1035615.6036891319
2021-09-09,1030567.037546462
2021-09-10,1028451.7237744262
2021-09-13,1029251.0883310193
2021-09-14,1027484.5159735624
2021-09-15,1021399.8249413915
2021-09-16,1020877.2396089701
2021-09-17,1029834.688863773
2021-09-20,1034358.4184720004
2021-09-21,1026792.4375985393
2021-09-22,1022918.9564860396
2021-09-23,1028289.1655575352
2021-09-24,1028428.3123259281
2021-09-27,1022505.2493101648
2021-09-28,1027000.9036592015
2021-09-29,1024121.3055909328
2021-09-30,1024095.9673277639
2021-10-01,1027806.7881096896
2021-10-04,1023278.2694441992
2021-10-05,1024081.1145381326
2021-10-06,1023413.2346105295
2021-10-07,1018353.4177239266
2021-10-08,1020317.4192170814
2021-10-11,1020622.6774131822
2021-10-12,1024480.5170599716
2021-10-13,1019826.6643797781
2021-10-14,1021826.4540930873
2021-10-15,1029319.3051421389
