,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999650.0000000001
2021-01-01,1002355.7711070054
2021-01-04,1001363.1148238201
2021-01-05,1002986.0717193071
2021-01-06,1007401.047453308
2021-01-07,998428.9391774853
2021-01-08,991663.0426049725
2021-01-11,982341.1408721552
2021-01-12,986276.5113903094
2021-01-13,989520.7201502231
2021-01-14,987395.3761972757
2021-01-15,992447.1887123021
2021-01-18,989457.2553381264
2021-01-19,987912.5503674608
2021-01-20,990435.6577297885
2021-01-21,992095.0412353649
2021-01-22,992898.8218145155
2021-01-25,989736.3188037717
2021-01-26,985303.6646018461
2021-01-27,977543.7043139066
2021-01-28,979359.4199649831
2021-01-29,979340.8863194607
2021-02-01,982897.9175213317
2021-02-02,979515.8261616136
2021-02-03,980598.2008560139
2021-02-04,970311.3487662931
2021-02-05,967354.411508846
2021-02-08,967948.7968027083
2021-02-09,964836.953221069
2021-02-10,966262.4365568856
2021-02-11,960854.5384078985
2021-02-12,963108.5841611817
2021-02-15,969118.8204598142
2021-02-16,965510.9819139108
2021-02-17,963143.5439808484
2021-02-18,964042.6375469327
2021-02-19,964730.3958538802
2021-02-22,968012.4372252923
2021-02-23,965903.388655954
2021-02-24,962992.0220008743
2021-02-25,964876.1420951892
2021-02-26,964858.6775776888
2021-03-01,965548.5236836462
2021-03-02,962814.0625407984
2021-03-03,965340.8632643374
2021-03-04,968400.4651000681
2021-03-05,968062.5797686875
2021-03-08,965669.1986591634
2021-03-09,961720.0484721535
2021-03-10,967095.9673517032
2021-03-11,969381.8070597067
2021-03-12,969674.8342135146
2021-03-15,973334.3552404877
2021-03-16,980655.1431436102
2021-03-17,980042.9652977537
2021-03-18,982221.5153000002
2021-03-19,981966.1056418414
2021-03-22,981716.5564016394
2021-03-23,976012.4530890742
2021-03-24,967856.9756433972
2021-03-25,967465.9517782833
2021-03-26,965919.3530245696
2021-03-29,973911.3329649408
2021-03-30,979243.432331664
2021-03-31,979228.5383335659
2021-04-01,973885.6261597961
2021-04-02,978832.9922077581
2021-04-05,978072.0590025713
2021-04-06,983538.2109836016
2021-04-07,981491.3079560517
2021-04-08,978706.073143448
2021-04-09,981956.079484734
2021-04-12,984053.5139572396
2021-04-13,981934.5243283683
2021-04-14,996383.5985536014
2021-04-15,993643.0891014602
2021-04-16,996410.5652084707
2021-04-19,997625.5297660824
2021-04-20,995110.9828057662
2021-04-21,997745.560223656
2021-04-22,995154.9164835608
2021-04-23,996350.1758974052
2021-04-26,994930.7502505851
2021-04-27,990617.6609049346
2021-04-28,986954.049632741
2021-04-29,992654.3049140592
2021-04-30,992634.3370820598
2021-05-03,999174.1349561902
2021-05-04,1001878.9074577732
2021-05-05,1005534.108185537
2021-05-06,1007432.1360493377
2021-05-07,1016863.6901301509
2021-05-10,1016931.2924919968
2021-05-11,1013839.180462375
2021-05-12,1009764.4390741364
2021-05-13,1012308.8614605234
2021-05-14,1011201.4325803232
2021-05-17,1015020.0862737113
2021-05-18,1009462.2712723756
2021-05-19,1006888.7588876904
2021-05-20,1001018.1766197188
2021-05-21,998631.1096272136
2021-05-24,1000996.166504574
2021-05-25,1005145.9554343583
2021-05-26,1005066.6995250926
2021-05-27,1007983.1642287477
2021-05-28,1001008.560557728
2021-05-31,1000988.11542328
2021-06-01,1006899.9187243214
2021-06-02,1006210.4578810434
2021-06-03,997279.127733007
2021-06-04,1002429.6962637276
2021-06-07,1002381.5807190194
2021-06-08,1000418.8770070511
2021-06-09,1006762.8151571291
2021-06-10,1003724.2122767797
2021-06-11,1001419.3810146507
2021-06-14,997854.6331837365
2021-06-15,998992.1982949617
2021-06-16,1000339.9825881844
2021-06-17,993786.0456793547
2021-06-18,988298.3496067446
2021-06-21,986108.7419893636
2021-06-22,985386.8585859708
2021-06-23,982298.5574176336
2021-06-24,990056.6705707179
2021-06-25,987274.2620888001
2021-06-28,988115.059984828
2021-06-29,990015.4403070837
2021-06-30,989997.4349114401
2021-07-01,984112.4169597479
2021-07-02,983856.835981762
2021-07-05,979766.5569846159
2021-07-06,979607.2805682621
2021-07-07,991292.0500567426
2021-07-08,991726.0771087033
2021-07-09,999456.2769834849
2021-07-12,1007039.2837190002
2021-07-13,1011041.5564838408
2021-07-14,1012239.8218298587
2021-07-15,1013433.3318831158
2021-07-16,1019964.084953082
2021-07-19,1032903.6775065649
2021-07-20,1033955.8520920926
2021-07-21,1034010.4129128931
2021-07-22,1029908.2786869628
2021-07-23,1029219.7148154478
2021-07-26,1026328.02184589
2021-07-27,1025347.796095911
2021-07-28,1025358.1084207156
2021-07-29,1029166.2540907455
2021-07-30,1029154.6804591494
2021-08-02,1025233.2487689687
2021-08-03,1030556.6047453483
2021-08-04,1030693.456028814
2021-08-05,1032960.5356597373
2021-08-06,1036378.5443070738
2021-08-09,1038757.9065694518
2021-08-10,1037980.5786357652
2021-08-11,1043598.0129123782
2021-08-12,1043523.4662800027
2021-08-13,1041024.5968887259
2021-08-16,1037815.806632476
2021-08-17,1041265.5376655897
2021-08-18,1049448.240059823
2021-08-19,1046782.1652357115
2021-08-20,1044108.2267736729
2021-08-23,1034855.1714648476
2021-08-24,1026618.9327196921
2021-08-25,1017126.8869862444
2021-08-26,1017028.4889323738
2021-08-27,1018254.6396730961
2021-08-30,1024463.3382206213
2021-08-31,1024446.0612072345
2021-09-01,1021421.1645026726
2021-09-02,1017785.9521696562
2021-09-03,1029975.0025117573
2021-09-06,1030067.5236282971
2021-09-07,1028357.2358620424
2021-09-08,1035615.6592152757
2021-09-09,1030567.0850194492
2021-09-10,1028451.7649910811
2021-09-13,1029251.1274455581
2021-09-14,1027484.5569559971
2021-09-15,1021399.8649036887
2021-09-16,1020877.2845235597
2021-09-17,1029834.7440679314
2021-09-20,1034358.4700500086
2021-09-21,1026792.4773868881
2021-09-22,1022919.0008779669
2021-09-23,1028289.1985968282
2021-09-24,1028428.3401774712
2021-09-27,1022505.2607225335
2021-09-28,1027000.925002472
2021-09-29,1024121.3281987748
2021-09-30,1024095.9899257865
2021-10-01,1027806.8163375664
2021-10-04,1023278.2940838656
2021-10-05,1024081.1341542868
2021-10-06,1023413.255107473
2021-10-07,1018353.4379894626
2021-10-08,1020317.4351123861
2021-10-11,1020622.6968929359
2021-10-12,1024480.5373493485
2021-10-13,1019826.6775097519
2021-10-14,1021826.4593198268
2021-10-15,1029319.3084812453
