,0
2020-12-18,1000000.0
2020-12-21,1000000.0
2020-12-22,1000000.0
2020-12-23,1000000.0
2020-12-24,1000000.0
2020-12-25,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,999649.9999999998
2021-01-01,1002355.7468169095
2021-01-04,1001363.1159213767
2021-01-05,1002986.0628645453
2021-01-06,1007401.0691370292
2021-01-07,998428.9656996378
2021-01-08,991663.057225355
2021-01-11,982341.1523680544
2021-01-12,986276.5094190734
2021-01-13,989520.719240143
2021-01-14,987395.3583468854
2021-01-15,992447.1674369037
2021-01-18,989457.2533035461
2021-01-19,987912.527286941
2021-01-20,990435.6392436033
2021-01-21,992095.0294052613
2021-01-22,992898.8103181402
2021-01-25,989736.3109819747
2021-01-26,985303.6672570744
2021-01-27,977543.6822702194
2021-01-28,979359.4040844273
2021-01-29,979340.8704426178
2021-02-01,982897.8934913444
2021-02-02,979515.7777684199
2021-02-03,980598.1626948207
2021-02-04,970311.3211425602
2021-02-05,967354.386526705
2021-02-08,967948.7794257676
2021-02-09,964836.9487373818
2021-02-10,966262.4327689286
2021-02-11,960854.5325515661
2021-02-12,963108.5653103006
2021-02-15,969118.790579044
2021-02-16,965510.9374184766
2021-02-17,963143.5039856202
2021-02-18,964042.6072892804
2021-02-19,964730.3748285397
2021-02-22,968012.4220713405
2021-02-23,965903.3602653281
2021-02-24,962991.9956233294
2021-02-25,964876.121644261
2021-02-26,964858.6571386518
2021-03-01,965548.5117918678
2021-03-02,962814.0447730522
2021-03-03,965340.8287984425
2021-03-04,968400.4428953987
2021-03-05,968062.5661971299
2021-03-08,965669.1849049896
2021-03-09,961720.0406316689
2021-03-10,967095.941262095
2021-03-11,969381.7814452945
2021-03-12,969674.7956245817
2021-03-15,973334.3208791082
2021-03-16,980655.1149095426
2021-03-17,980042.9285681372
2021-03-18,982221.4631982831
2021-03-19,981966.0619156809
2021-03-22,981716.5219082226
2021-03-23,976012.4240022762
2021-03-24,967856.964812176
2021-03-25,967465.93669149
2021-03-26,965919.3323514424
2021-03-29,973911.3132864072
2021-03-30,979243.4055226636
2021-03-31,979228.5115357476
2021-04-01,973885.5948684238
2021-04-02,978832.9733583322
2021-04-05,978072.0447624064
2021-04-06,983538.1939220692
2021-04-07,981491.3056961341
2021-04-08,978706.0474440266
2021-04-09,981956.0548054209
2021-04-12,984053.4649974727
2021-04-13,981934.4990675822
2021-04-14,996383.5721319632
2021-04-15,993643.051508226
2021-04-16,996410.5286778088
2021-04-19,997625.5048904348
2021-04-20,995110.9451419689
2021-04-21,997745.5119640122
2021-04-22,995154.8777946737
2021-04-23,996350.1466188887
2021-04-26,994930.7163768437
2021-04-27,990617.620560733
2021-04-28,986954.0174032971
2021-04-29,992654.2811201084
2021-04-30,992634.313294282
2021-05-03,999174.1081920092
2021-05-04,1001878.8845209285
2021-05-05,1005534.0873434456
2021-05-06,1007432.1063695033
2021-05-07,1016863.6613367242
2021-05-10,1016931.263227718
2021-05-11,1013839.1587672149
2021-05-12,1009764.4256012408
2021-05-13,1012308.8280313452
2021-05-14,1011201.4043638537
2021-05-17,1015020.0436599328
2021-05-18,1009462.2375023465
2021-05-19,1006888.7385582568
2021-05-20,1001018.1631034891
2021-05-21,998631.1104946025
2021-05-24,1000996.1762061499
2021-05-25,1005145.9640254673
2021-05-26,1005066.6974297581
2021-05-27,1007983.1518544633
2021-05-28,1001008.5589418678
2021-05-31,1000988.1138128263
2021-06-01,1006899.9230788688
2021-06-02,1006210.4808694192
2021-06-03,997279.1528728262
2021-06-04,1002429.695795514
2021-06-07,1002381.5846476688
2021-06-08,1000418.894956016
2021-06-09,1006762.8264232008
2021-06-10,1003724.246900425
2021-06-11,1001419.4168701228
2021-06-14,997854.684211771
2021-06-15,998992.2597446203
2021-06-16,1000340.0581919424
2021-06-17,993786.1290456324
2021-06-18,988298.44283159
2021-06-21,986108.8505288173
2021-06-22,985386.9675635721
2021-06-23,982298.67022798
2021-06-24,990056.7813519316
2021-06-25,987274.3633457191
2021-06-28,988115.1711480119
2021-06-29,990015.521335553
2021-06-30,989997.515946231
2021-07-01,984112.5119350482
2021-07-02,983856.9208716644
2021-07-05,979766.6345348542
2021-07-06,979607.3326872855
2021-07-07,991292.10579416
2021-07-08,991726.145495742
2021-07-09,999456.3410042685
2021-07-12,1007039.3570867969
2021-07-13,1011041.6135455521
2021-07-14,1012239.866213253
2021-07-15,1013433.3914835015
2021-07-16,1019964.1244104417
2021-07-19,1032903.7126490722
2021-07-20,1033955.9035851154
2021-07-21,1034010.4740902747
2021-07-22,1029908.3396746232
2021-07-23,1029219.7850052307
2021-07-26,1026328.1069346701
2021-07-27,1025347.881966909
2021-07-28,1025358.1799917169
2021-07-29,1029166.3323040418
2021-07-30,1029154.7586804881
2021-08-02,1025233.3456393977
2021-08-03,1030556.7009478579
2021-08-04,1030693.544286061
2021-08-05,1032960.626819014
2021-08-06,1036378.6412750044
2021-08-09,1038758.0061434469
2021-08-10,1037980.6777902843
2021-08-11,1043598.114745685
2021-08-12,1043523.5737965083
2021-08-13,1041024.7017190774
2021-08-16,1037815.8756229262
2021-08-17,1041265.5827234007
2021-08-18,1049448.2734762444
2021-08-19,1046782.1943900752
2021-08-20,1044108.2437075769
2021-08-23,1034855.2025424106
2021-08-24,1026618.9533447244
2021-08-25,1017126.9311282872
2021-08-26,1017028.5289118605
2021-08-27,1018254.6605567221
2021-08-30,1024463.3560871729
2021-08-31,1024446.0790753447
2021-09-01,1021421.1951254846
2021-09-02,1017785.9700901336
2021-09-03,1029975.0087131645
2021-09-06,1030067.5078952358
2021-09-07,1028357.2357565054
2021-09-08,1035615.6623277563
2021-09-09,1030567.0991331395
2021-09-10,1028451.7657637586
2021-09-13,1029251.1215898141
2021-09-14,1027484.5562473399
2021-09-15,1021399.8736192861
2021-09-16,1020877.2989809042
2021-09-17,1029834.7673662396
2021-09-20,1034358.4925935034
2021-09-21,1026792.4904117505
2021-09-22,1022919.0242811022
2021-09-23,1028289.1973497642
2021-09-24,1028428.328795111
2021-09-27,1022505.2253740703
2021-09-28,1027000.8710408971
2021-09-29,1024121.2601304429
2021-09-30,1024095.9218579053
2021-10-01,1027806.7604956885
2021-10-04,1023278.2407922881
2021-10-05,1024081.0616560966
2021-10-06,1023413.1830657523
2021-10-07,1018353.358762331
2021-10-08,1020317.3462915836
2021-10-11,1020622.5995662854
2021-10-12,1024480.4438999302
2021-10-13,1019826.5898040266
2021-10-14,1021826.3705430891
2021-10-15,1029319.2225076692
