,ASSET_1,ASSET_2,ASSET_3,ASSET_4,ASSET_5,ASSET_6,ASSET_7,ASSET_8,ASSET_9,ASSET_10,ASSET_11,ASSET_12,ASSET_13,ASSET_14,ASSET_15,CASH
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-31,3.5861930439335436e-09,0.04216494588793828,0.09688635536030528,0.05395100737676701,0.054913189824378233,0.09070131532421566,0.10632933193501849,0.004054414611205901,2.6887477003882804e-10,0.10453526141962971,0.13590006020998258,0.13125877339966258,6.800305036106659e-10,0.08059016727660036,0.09906529538208769,-0.0003501225428900115
2021-01-01,3.5999163179581583e-09,0.042711185363054,0.0975755331294759,0.05429033689078324,0.054822008175692924,0.0909376815667079,0.10786996547507748,0.003968692037268219,2.6687163098308514e-10,0.10305004927986458,0.13643092096400308,0.13368855911497185,6.714553430737416e-10,0.07691721566383802,0.09808702521456825,-0.00034917741354864015
2021-01-04,3.6353034629053612e-09,0.04299592711042676,0.09814881136166724,0.05418497191374873,0.054040753087350075,0.0916603053070918,0.1068006770319681,0.004097181924367256,2.695127353116081e-10,0.10226919999318018,0.13527948753499325,0.13367949219233125,6.696581003551612e-10,0.07860411197082838,0.09858859955406064,-0.00034952355648789203
2021-01-05,3.605049991555993e-09,0.04375765133548156,0.09806716808656425,0.054589851803467225,0.053571454926051615,0.09196924012664455,0.10711494229767979,0.003982617023407818,2.7724288461244654e-10,0.10419570564247373,0.13425669240031218,0.13104898479441618,6.730122851984538e-10,0.07864539466003556,0.09914925032692386,-0.00034895797876351956
2021-01-06,3.596460275029748e-09,0.04379904495809183,0.09918830961008562,0.05472029278741638,0.052673150551858436,0.09319728318707213,0.10904659835331673,0.004143884975692724,2.715404318963954e-10,0.10417724802263596,0.12922450882148265,0.13175901374833787,6.639776347844686e-10,0.0810896749252802,0.09732841418462707,-0.00034742865787603506
2021-01-07,3.571578929145389e-09,0.04399180683245349,0.09797014368039862,0.05570349178728321,0.051829693828809593,0.09410107634467602,0.10698105433430599,0.004163800607410245,2.807826829101963e-10,0.10574955981761666,0.12862483511760195,0.13294086261205634,6.705169007325212e-10,0.08256943916411488,0.09572478208140837,-0.0003505507310140095
2021-01-08,3.6167950752175095e-09,0.04308931024095351,0.09799278497974008,0.055785238080441925,0.05260109573434887,0.09480282899379777,0.1057070181126444,0.004135345608703814,2.836525920473454e-10,0.10638866936127027,0.12834996369671145,0.1328302301358038,6.837025881693423e-10,0.08239564031666145,0.09627481261794396,-0.0003529424631717136
2021-01-11,3.726703390254783e-09,0.042881110334893384,0.09696966252473968,0.05683688895773409,0.052679011087201015,0.095344447070833,0.10562422525841092,0.004160872281903529,2.9326273713618397e-10,0.1087842581354425,0.131440008683938,0.1309548227178487,6.766198330859776e-10,0.07892129986329398,0.09575968008936896,-0.0003562917021936572
2021-01-12,3.746124771700435e-09,0.04294322046523172,0.09637634158257927,0.05661166312049182,0.05204605347386517,0.0952456656907393,0.10632916227503231,0.004050998003243934,2.935163903409727e-10,0.1099676682288003,0.1300983530242621,0.13204097099643086,7.075695912531228e-10,0.07850148707390457,0.0961432813684023,-0.00035487005019442714
2021-01-13,3.708543936677823e-09,0.0428906763190985,0.09656233540672314,0.05656819825227613,0.05124895176453619,0.09521691290921955,0.10811142883500269,0.004064993897412958,2.9685735408856944e-10,0.10925356674981053,0.13130945554250248,0.13229537671836625,6.938611461644575e-10,0.07874263879330208,0.09408916669784466,-0.0003537065853577239
2021-01-14,3.6950384601741586e-09,0.043075132372458864,0.09710549528462376,0.055932484584107975,0.05203291811105402,0.09615426796248558,0.10735338687446735,0.003986580261418721,2.969827147370766e-10,0.10878043697967749,0.13189667326119472,0.13183546053397377,6.71233497699072e-10,0.07839840687129816,0.09380322016794035,-0.0003544679279555775
2021-01-15,3.698970732851489e-09,0.04256265553734071,0.09838721546796676,0.05444296811652591,0.05260882122708384,0.09542216589611846,0.10808560045255032,0.0039723476620164575,3.0059623075940907e-10,0.10762500715579898,0.12895323537454692,0.1343751522575577,6.668465108129247e-10,0.07835848047200832,0.09555900930985517,-0.0003526635957829312
2021-01-18,3.674706520546094e-09,0.04295832789535268,0.0980810494673041,0.0545401495647333,0.05283058255015898,0.09390173638200319,0.10731238926826736,0.004062231335167264,3.0560017022265246e-10,0.10789421525656136,0.12991461266390136,0.13418080027307352,6.851445837198263e-10,0.07835286099424964,0.09632476895626589,-0.00035372927249003065
2021-01-19,3.7210380415674388e-09,0.042696636973759305,0.09991308222860759,0.053681667962015796,0.05397727709835276,0.09363108166790486,0.10716766891111726,0.003961206829533151,3.041411770469665e-10,0.10636763157279461,0.12889970388183783,0.13414780195612216,6.981191226237222e-10,0.0788167500557564,0.0970937685029632,-0.00035428236406333876
2021-01-20,3.6738743526046106e-09,0.04221777844175026,0.10161978818332128,0.0531084072493599,0.054939870701152756,0.09313322425785832,0.10693735281726195,0.004012626067958475,3.0922469500633664e-10,0.10596227213387706,0.12782471124298767,0.13374807804875327,7.008454168677434e-10,0.07993745238317639,0.09691181363010756,-0.00035337984150940965
2021-01-21,3.6899057226549285e-09,0.042855809679275776,0.10189344351329767,0.05322419742442066,0.05385296729536251,0.08987239166044232,0.10735751651408895,0.004002120175428677,3.0647903592892037e-10,0.10623292868411521,0.12754754001726773,0.13613339658555387,7.011072617941295e-10,0.07876274778862484,0.0986177247390484,-0.00035278877441869837
2021-01-22,3.680085728942517e-09,0.04305909240833618,0.10131203830101147,0.05279966315103013,0.05388117165578961,0.08984495445816797,0.10800493227472112,0.0039852406767732634,2.9801101703584965e-10,0.10548195462296579,0.1291444582145027,0.13541006176165132,6.978881000998496e-10,0.08015821695483422,0.09727071402552437,-0.0003525031812930575
2021-01-25,3.6387570561448454e-09,0.043136226197217624,0.1011302765990805,0.05239614657163963,0.05395502283502893,0.09073079238946222,0.10837637987946185,0.004016956588652334,3.0714041745389345e-10,0.10530374931105414,0.13020369190695696,0.13474486130046853,6.900968034961821e-10,0.0796028010815625,0.09675672023774508,-0.0003536295343246813
2021-01-26,3.6682676517180432e-09,0.044370598949382035,0.10082564014236912,0.052395185243231474,0.05417308928847067,0.09163255719961172,0.1092913482491359,0.004110068032403783,2.975377416180324e-10,0.10190602050466166,0.1298019070176142,0.1379261548129043,6.745293182967192e-10,0.07562367087961147,0.09829897546985356,-0.0003552204295846395
2021-01-27,3.7066334224217536e-09,0.044239343389685305,0.10057035279377252,0.05223846199872021,0.054693477129111816,0.09164956023671746,0.11093419398360686,0.003976722949515368,2.962115293965961e-10,0.10096606221379778,0.1303520867418303,0.13782984093244147,6.897689758161387e-10,0.0736844841002453,0.09922344908428901,-0.00035804024634713356
2021-01-28,3.7200145925174425e-09,0.04499735312077648,0.09988724923979762,0.05235050540734152,0.053412719075441276,0.08870471623453252,0.11203200447202717,0.003970612473775471,3.009619389661206e-10,0.09867596398216931,0.13126885152202405,0.14198267419316468,6.93931766020843e-10,0.0739602656312691,0.09911445637728988,-0.0003573764445174281
2021-01-29,3.585005719937194e-09,0.04215098583295959,0.09685427803116298,0.05393314516887668,0.054895009055190465,0.09067128575055203,0.1062941282062243,0.004053072267472573,2.687857504398916e-10,0.10450065167530541,0.13585506614507423,0.13121531598131408,6.798053577455954e-10,0.08056348532214196,0.09903249664510629,-1.8924614977535578e-05
