Strategy,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Sortino Ratio,Win Rate (%),Avg Turnover (%),Transaction Costs ($)
10. Max Decorrelation,7.101806410999539,15.819727460417257,21.763034189918752,1.0714242413025488,-15.470524936422045,2.0295927878885673,1.4957240308405366,44.76439949027282,55.88276172046117,168.51400523436342
5. Mean Reversion,6.997594725023598,15.068790999295903,18.5917091276686,1.0456555513899686,-12.28254547851416,2.012446307166977,1.3233163781516306,44.25762110849006,77.41729971493282,238.68922107181032
1. Buy & Hold,6.929178718089594,15.063972242060602,18.45144144721623,1.0390593174867078,-12.794590135290493,2.064743658614285,1.3158102914614707,45.54461379357503,34.343343464783466,103.60839391206808
2. Equal Weight,6.929178718089592,15.063972242060592,18.45144144721623,1.0390593174867073,-12.794590135290493,2.064743658614284,1.3158102914614702,45.54461379357503,34.343343464783466,103.60839391206808
Bandit Meta-Strategy (UCB),5.508073020090927,11.847274620094069,16.758003372493345,0.9476824727878891,-11.915053468070749,1.8966973472401019,1.189997450770702,45.787102632248114,38.57946573603588,116.19661670170204
7. Inverse Volatility,5.293063247233605,11.21128933071889,16.248308619299472,0.9329394588595583,-11.407970326815482,1.7597078056964957,1.1246077244144366,46.27425089171762,33.33333333333333,100.0
3. Quintile Momentum,8.284622946678141,19.971221264489987,24.468215268100497,0.9320223122291964,-15.981759105972957,2.128053091408392,1.4303303370143108,42.04650894411376,103.50481765062511,324.6797133771303
9. Max Diversification,4.854061610277534,10.336835117982893,16.4505026131612,0.924462982586093,-11.616847709574092,2.0819346300249078,1.2543072541060114,44.60924520959821,54.781847221649,165.01870495132752
Bandit Meta-Strategy (Thompson),4.9700358837286265,10.707588370509438,15.952585415533132,0.8978229199001649,-11.479847021268567,2.006297333268529,1.1158437681000537,45.469140758649644,55.641878057343995,168.625260002385
8. Risk Parity,4.80776781190586,10.152270265219839,15.836345511706176,0.8510838626143096,-11.222298063958593,1.6433067805519288,1.018193422603578,46.43631537887599,33.33333333333333,100.0
12. CVaR Minimization,3.1336286646382265,7.164451369115382,15.190614083831857,0.8507475673963361,-11.00183198535391,2.156893082897594,1.216802103256044,44.23364778205965,70.27670779897396,209.57213227447656
Bandit Meta-Strategy (EXP3),3.621537788384803,7.938940219576332,17.11174245196452,0.7241064390426728,-12.461618940920554,1.5106155505711827,0.9138900086536268,45.14868813278993,54.33381488807634,163.02102721906232
4. Quintile Low Vol,4.345673943894539,9.271233729029223,14.200582116385332,0.7212184379291309,-10.1111476475265,1.5903725302695781,0.9481810384435362,44.34905126101726,65.06467620812433,199.27829642201795
11. Sharpe Maximization,3.0096529026161503,6.837059392933701,21.38652725079529,0.5858927153314872,-14.45481262786425,1.4907600173577293,0.8244418677622464,44.153931840136394,76.94860049203488,232.07568608603597
6. GMVP,2.1737149063314543,4.77632226821939,13.898208150469307,0.5425636457709159,-10.056840721099409,1.212336777018716,0.7234661433765057,44.07315400066402,54.61453132116667,163.52256108627677
